orbit,weight,global_packings,anchored_packings,both_orientations,reflection_fixed,status
851,1935074,5782,2891,0,0,unresolved
852,1935064,1656,828,0,0,unresolved
853,1935051,3078,1546,14,0,unresolved
854,1935045,5540,2781,22,0,unresolved
855,1934975,4210,2105,0,0,unresolved
856,1934958,2825,1416,7,1,unresolved
857,1934946,6196,3098,0,0,unresolved
858,1934944,7442,3721,0,0,unresolved
859,1934934,6558,3304,50,2,unresolved
860,1934916,5372,2686,0,0,unresolved
861,1934829,1510,755,0,0,unresolved
862,1934818,2832,1416,0,0,unresolved
863,1934807,4548,2282,16,0,unresolved
864,1934768,3621,1818,15,1,unresolved
865,1934741,9064,4532,0,0,unresolved
866,1934735,1394,697,0,0,unresolved
867,1934721,5050,2525,0,0,unresolved
868,1934693,17640,8820,0,0,unresolved
869,1934656,1842,921,0,0,unresolved
870,1934608,2128,1064,0,0,unresolved
871,1934484,2618,1309,0,0,unresolved
872,1934469,1030,515,0,0,unresolved
873,1934464,2732,1377,22,2,unresolved
874,1934414,1338,669,0,0,unresolved
875,1934407,5702,2851,0,0,unresolved
876,1934348,3982,1991,0,0,unresolved
877,1934341,2218,1109,0,0,unresolved
878,1934339,2212,1106,0,0,unresolved
879,1934331,9047,4552,57,3,unresolved
880,1934304,5664,2832,0,0,unresolved
881,1934249,742,371,0,0,unresolved
882,1934230,4830,2415,0,0,unresolved
883,1934189,4116,2058,0,0,unresolved
884,1934178,7486,3743,0,0,unresolved
885,1934176,12404,6202,0,0,unresolved
886,1934138,6502,3251,0,0,unresolved
887,1934125,1892,947,2,2,unresolved
888,1934088,5224,2612,0,0,unresolved
889,1934065,3196,1598,0,0,unresolved
890,1934045,2017,1015,13,1,unresolved
891,1933994,6810,3405,0,0,unresolved
892,1933975,3214,1607,0,0,unresolved
893,1933967,2500,1250,0,0,unresolved
894,1933962,14468,7234,0,0,unresolved
895,1933958,1704,852,0,0,unresolved
896,1933948,1944,972,0,0,unresolved
897,1933924,6656,3328,0,0,unresolved
898,1933896,5239,2674,109,5,unresolved
899,1933883,1943,972,1,1,unresolved
900,1933837,2648,1324,0,0,unresolved
901,1933745,4566,2283,0,0,unresolved
902,1933745,1970,985,0,0,unresolved
903,1933704,721,363,5,1,unresolved
904,1933697,2850,1425,0,0,unresolved
905,1933685,2616,1308,0,0,unresolved
906,1933677,3186,1593,0,0,unresolved
907,1933623,1466,733,0,0,unresolved
908,1933613,680,340,0,0,unresolved
909,1933610,2968,1500,32,2,unresolved
910,1933609,7122,3561,0,0,unresolved
911,1933573,2015,1010,5,1,unresolved
912,1933565,2116,1058,0,0,unresolved
913,1933550,3465,1756,47,1,unresolved
914,1933534,3002,1501,0,0,unresolved
915,1933488,2372,1186,0,0,unresolved
916,1933453,3864,1932,0,0,unresolved
917,1933427,1226,613,0,0,unresolved
918,1933369,1668,834,0,0,unresolved
919,1933286,1822,911,0,0,unresolved
920,1933257,854,427,0,0,unresolved
921,1933245,2023,1014,5,1,unresolved
922,1933234,813,407,1,1,unresolved
923,1933217,4786,2412,38,0,unresolved
924,1933176,4156,2078,0,0,unresolved
925,1933167,3394,1697,0,0,unresolved
926,1933166,3878,1939,0,0,unresolved
927,1933134,1164,583,2,0,unresolved
928,1933078,1695,859,23,1,unresolved
929,1933072,6354,3177,0,0,unresolved
930,1933054,4880,2480,80,4,unresolved
931,1933009,5190,2612,34,4,unresolved
932,1933000,3910,1955,0,0,unresolved
933,1932962,5933,3001,69,5,unresolved
934,1932955,6400,3200,0,0,unresolved
935,1932952,5274,2637,0,0,unresolved
936,1932929,5500,2750,0,0,unresolved
937,1932878,1644,841,38,2,unresolved
938,1932873,4808,2404,0,0,unresolved
939,1932842,1922,961,0,0,unresolved
940,1932757,5218,2609,0,0,unresolved
941,1932756,1314,657,0,0,unresolved
942,1932726,970,485,0,0,unresolved
943,1932718,986,493,0,0,unresolved
944,1932636,1060,530,0,0,unresolved
945,1932634,2210,1105,0,0,unresolved
946,1932634,5054,2527,0,0,unresolved
947,1932616,2638,1319,0,0,unresolved
948,1932576,3219,1615,11,1,unresolved
949,1932458,4094,2047,0,0,unresolved
950,1932457,5182,2591,0,0,unresolved
951,1932451,4016,2008,0,0,unresolved
952,1932434,4402,2228,54,4,unresolved
953,1932401,258,129,0,0,unresolved
954,1932357,7836,3967,98,6,unresolved
955,1932316,2354,1177,0,0,unresolved
956,1932304,6586,3324,62,2,unresolved
957,1932301,3582,1791,0,0,unresolved
958,1932275,2350,1189,28,0,unresolved
959,1932235,3088,1544,0,0,unresolved
960,1932222,4380,2190,0,0,unresolved
961,1932217,1644,822,0,0,unresolved
962,1932215,4330,2204,78,4,unresolved
963,1932208,4670,2335,0,0,unresolved
964,1932169,2022,1019,16,2,unresolved
965,1932149,716,358,0,0,unresolved
966,1932129,2146,1073,0,0,unresolved
967,1932046,2584,1292,0,0,unresolved
968,1932038,1285,647,9,1,unresolved
969,1932031,976,488,0,0,unresolved
970,1932015,8180,4090,0,0,unresolved
971,1932001,1084,542,0,0,unresolved
972,1931989,2428,1214,0,0,unresolved
973,1931988,1728,864,0,0,unresolved
974,1931964,378,189,0,0,unresolved
975,1931943,6958,3508,58,4,unresolved
976,1931906,1978,989,0,0,unresolved
977,1931891,2242,1121,0,0,unresolved
978,1931860,1779,898,17,3,unresolved
979,1931842,3568,1784,0,0,unresolved
980,1931827,918,459,0,0,unresolved
981,1931795,1060,530,0,0,unresolved
982,1931781,2848,1435,22,2,unresolved
983,1931751,1498,749,0,0,unresolved
984,1931724,4661,2369,77,5,unresolved
985,1931700,2694,1347,0,0,unresolved
986,1931670,1180,590,0,0,unresolved
987,1931599,4048,2024,0,0,unresolved
988,1931578,2310,1155,0,0,unresolved
989,1931578,1450,725,0,0,unresolved
990,1931557,2984,1492,0,0,unresolved
991,1931541,1322,661,0,0,unresolved
992,1931537,1339,673,7,1,unresolved
993,1931443,2106,1053,0,0,unresolved
994,1931427,1942,971,0,0,unresolved
995,1931421,1086,543,0,0,unresolved
996,1931369,1804,902,0,0,unresolved
997,1931365,4898,2449,0,0,unresolved
998,1931365,494,248,2,0,unresolved
999,1931297,388,194,0,0,unresolved
1000,1931203,592,297,2,2,unresolved
1001,1931174,2888,1476,64,2,unresolved
1002,1931172,1178,589,0,0,unresolved
1003,1931150,142,71,0,0,cover_excluded
1004,1931138,1425,714,3,1,unresolved
1005,1931028,1082,541,0,0,unresolved
1006,1931018,2780,1390,0,0,unresolved
1007,1930996,1367,684,1,1,unresolved
1008,1930984,1618,814,10,2,unresolved
1009,1930968,2566,1283,0,0,unresolved
1010,1930949,1150,575,0,0,unresolved
1011,1930931,1589,802,15,3,unresolved
1012,1930901,675,340,5,1,unresolved
1013,1930887,1704,852,0,0,unresolved
1014,1930885,3254,1627,0,0,unresolved
1015,1930859,486,244,2,0,unresolved
1016,1930857,1398,699,0,0,unresolved
1017,1930814,1414,707,0,0,unresolved
1018,1930786,1742,871,0,0,unresolved
1019,1930763,2677,1355,33,1,unresolved
1020,1930739,1388,694,0,0,unresolved
1021,1930718,1456,728,0,0,unresolved
1022,1930715,1564,782,0,0,unresolved
1023,1930701,892,446,0,0,unresolved
1024,1930699,1280,640,0,0,unresolved
1025,1930698,2894,1447,0,0,unresolved
1026,1930694,1018,509,0,0,unresolved
1027,1930655,3148,1574,0,0,unresolved
1028,1930644,2554,1277,0,0,unresolved
1029,1930569,2950,1475,0,0,unresolved
1030,1930514,2996,1498,0,0,unresolved
1031,1930507,2412,1206,0,0,unresolved
1032,1930466,542,271,0,0,unresolved
1033,1930464,2748,1374,0,0,unresolved
1034,1930452,1922,961,0,0,unresolved
1035,1930422,1810,905,0,0,unresolved
1036,1930420,1395,701,7,1,unresolved
1037,1930409,610,305,0,0,unresolved
1038,1930386,440,220,0,0,unresolved
1039,1930317,1632,816,0,0,unresolved
1040,1930315,4146,2073,0,0,unresolved
1041,1930303,1036,518,0,0,unresolved
1042,1930293,2550,1275,0,0,unresolved
1043,1930265,2986,1517,48,4,unresolved
1044,1930247,1054,530,6,2,unresolved
1045,1930237,1306,662,18,2,unresolved
1046,1930235,1119,561,3,1,unresolved
1047,1930203,3236,1618,0,0,unresolved
1048,1930150,826,413,0,0,unresolved
1049,1930148,1518,759,0,0,unresolved
1050,1930064,834,417,0,0,unresolved
1051,1930033,936,468,0,0,unresolved
1052,1930005,418,209,0,0,unresolved
1053,1929981,1300,650,0,0,unresolved
1054,1929914,2088,1044,0,0,unresolved
1055,1929892,821,413,5,1,unresolved
1056,1929815,706,353,0,0,unresolved
1057,1929782,1051,529,7,1,unresolved
1058,1929757,1067,538,9,1,unresolved
1059,1929690,599,300,1,1,unresolved
1060,1929686,1738,869,0,0,unresolved
1061,1929667,296,148,0,0,unresolved
1062,1929662,1214,612,10,2,unresolved
1063,1929650,1478,739,0,0,unresolved
1064,1929648,1608,804,0,0,unresolved
1065,1929642,754,379,4,2,unresolved
1066,1929614,2176,1088,0,0,unresolved
1067,1929596,376,188,0,0,unresolved
1068,1929585,1338,669,0,0,unresolved
1069,1929561,1808,904,0,0,unresolved
1070,1929495,253,128,3,1,unresolved
1071,1929493,1774,913,52,2,unresolved
1072,1929478,741,372,3,1,unresolved
1073,1929461,743,374,5,1,unresolved
1074,1929414,1316,658,0,0,unresolved
1075,1929391,1304,652,0,0,unresolved
1076,1929353,230,115,0,0,unresolved
1077,1929313,805,413,21,3,unresolved
1078,1929303,604,302,0,0,unresolved
1079,1929299,806,403,0,0,unresolved
1080,1929267,1684,842,0,0,unresolved
1081,1929255,772,396,20,2,unresolved
1082,1929188,1580,790,0,0,unresolved
1083,1929184,1660,830,0,0,unresolved
1084,1929181,1334,667,0,0,unresolved
1085,1929181,982,498,14,4,unresolved
1086,1929174,952,476,0,0,unresolved
1087,1929116,266,137,8,0,unresolved
1088,1929113,336,168,0,0,unresolved
1089,1929094,1520,775,30,0,unresolved
1090,1929073,162,81,0,0,cover_excluded
1091,1929072,1496,748,0,0,unresolved
1092,1929058,572,286,0,0,unresolved
1093,1929050,2005,1021,37,3,unresolved
1094,1928979,666,333,0,0,unresolved
1095,1928944,960,480,0,0,unresolved
1096,1928939,821,414,7,1,unresolved
1097,1928921,699,358,17,1,unresolved
1098,1928921,1636,818,0,0,unresolved
1099,1928913,588,298,8,2,unresolved
1100,1928903,680,340,0,0,unresolved
1101,1928847,952,476,0,0,unresolved
1102,1928846,2026,1013,0,0,unresolved
1103,1928837,992,499,6,0,unresolved
1104,1928832,1238,619,0,0,unresolved
1105,1928814,784,392,0,0,unresolved
1106,1928794,436,218,0,0,unresolved
1107,1928766,1030,523,16,2,unresolved
1108,1928739,1232,616,0,0,unresolved
1109,1928688,1326,663,0,0,unresolved
1110,1928681,582,291,0,0,unresolved
1111,1928641,196,98,0,0,cover_excluded
1112,1928641,226,113,0,0,unresolved
1113,1928605,356,178,0,0,unresolved
1114,1928597,268,136,4,0,unresolved
1115,1928581,1634,817,0,0,unresolved
