index	toggles	switches	descending	neutral	minimum_q	minimum_multiplicity	best_edges
85	14	50686	0	0	20	2	18-19,34-35,18-34,19-35
86	14	50687	0	0	19	1	22-23,40-41,22-41,23-40
87	15	50674	0	0	20	2	18-19,34-35,18-34,19-35
88	15	50675	0	0	19	1	22-23,40-41,22-41,23-40
89	14	50671	0	0	21	3	0-24,23-42,0-42,23-24
90	14	50667	0	0	22	3	10-11,27-28,10-27,11-28
91	15	50653	0	0	22	4	6-7,33-34,6-33,7-34
92	14	50691	0	0	18	1	16-17,40-41,16-40,17-41
93	14	50688	0	0	20	4	16-17,40-41,16-40,17-41
94	15	50675	0	0	20	4	16-17,40-41,16-40,17-41
95	15	50621	0	0	21	1	5-6,31-32,5-31,6-32
96	15	50624	0	0	21	1	31-32,33-34,31-34,32-33
97	16	50594	0	0	22	1	2-19,3-29,2-29,3-19
98	16	50594	0	0	22	1	2-19,3-29,2-29,3-19
99	15	50621	0	0	21	1	0-17,18-42,0-42,17-18
100	16	50591	0	0	21	1	5-6,31-32,5-31,6-32
101	15	50653	0	0	22	4	14-15,41-42,14-41,15-42
102	15	50623	0	0	22	3	5-6,30-31,5-31,6-30
103	15	50642	0	0	21	2	4-5,23-24,4-23,5-24
104	13	50739	0	0	19	1	21-22,23-24,21-24,22-23
105	13	50706	0	0	20	2	16-17,40-41,16-40,17-41
106	13	50704	0	0	22	7	4-5,23-24,4-23,5-24
107	15	50643	0	0	19	1	7-8,24-25,7-24,8-25
108	15	50674	0	0	20	3	8-9,34-35,8-34,9-35
109	14	50697	0	0	20	1	7-8,31-32,7-31,8-32
110	15	50625	0	0	21	3	0-40,41-42,0-42,40-41
111	13	50706	0	0	20	2	12-13,14-15,12-15,13-14
112	14	50689	0	0	20	1	16-17,40-41,16-40,17-41
113	13	50705	0	0	20	4	0-40,41-42,0-42,40-41
114	14	50672	0	0	20	1	4-5,30-31,4-30,5-31
115	14	50688	0	0	20	4	0-40,41-42,0-42,40-41
116	15	50657	0	0	21	1	4-5,23-24,4-23,5-24
117	15	50643	0	0	19	1	12-13,38-39,12-38,13-39
118	16	50595	0	0	21	2	0-40,41-42,0-42,40-41
119	14	50688	0	0	20	1	12-13,39-40,12-39,13-40
120	14	50687	0	0	21	2	13-14,39-40,13-39,14-40
121	15	50657	0	0	21	1	9-10,26-27,9-26,10-27
122	14	50690	0	0	20	2	16-17,40-41,16-40,17-41
123	14	50687	0	0	22	6	4-5,23-24,4-23,5-24
124	14	50689	0	0	22	8	4-5,23-24,4-23,5-24
125	14	50687	0	0	21	2	7-8,32-33,7-33,8-32
126	15	50641	0	0	20	2	7-8,24-25,7-24,8-25
127	16	50611	0	0	20	1	7-8,24-25,7-24,8-25
128	14	50671	0	0	21	1	20-21,37-38,20-37,21-38
129	15	50653	0	0	22	3	9-10,26-27,9-26,10-27
130	15	50624	0	0	20	1	4-5,30-31,4-30,5-31
131	16	50594	0	0	20	2	4-5,30-31,4-30,5-31
132	14	50688	0	0	20	3	0-40,41-42,0-42,40-41
133	15	50657	0	0	21	1	13-14,15-34,13-34,14-15
134	15	50624	0	0	22	2	9-10,26-27,9-26,10-27
135	14	50697	0	0	20	1	15-16,39-40,15-39,16-40
136	14	50672	0	0	20	1	0-17,16-42,0-42,16-17
137	15	50657	0	0	21	1	13-32,33-34,13-34,32-33
138	14	50670	0	0	22	3	8-9,35-36,8-35,9-36
