word_hex	blocker_count	blockers_zero_based
0241a421	4	165,207,1364,1477
0241a424	4	207,312,1096,1269
02420217	2	256,1272
02428017	4	103,256,1269,1483
02434282	4	378,835,1194,1307
0244d101	4	475,1325,1371,1469
02474082	4	273,378,1194,1307
02474202	4	378,1170,1307,1463
02480742	2	1597,1598
024828a1	4	1294,1476,1552,1664
02484072	3	22,1292,1294
02484252	3	827,1292,1597
02484285	4	220,1421,1520,1659
02485841	2	805,1330
024a1421	4	459,1352,1630,1657
024b2101	4	409,1421,1466,1513
024c1424	4	312,440,459,1283
02644824	4	440,1314,1325,1540
02682448	4	19,83,1513,1623
02704824	4	394,440,1117,1314
02718201	3	100,257,351
02721102	3	276,351,475
02744804	1	440
02744820	2	440,1325
02780448	4	83,520,830,1623
02782408	2	83,1623
02804724	3	341,1109,1509
02808d11	4	333,415,1436,1598
02810171	4	1373,1432,1557,1598
0281028e	4	39,1194,1284,1302
02818d01	3	39,91,415
0282012d	4	441,1109,1373,1432
0282102d	4	441,477,1118,1582
02821125	3	441,463,1432
0282112c	4	441,463,1109,1118
02821149	4	217,441,1564,1604
0282e102	4	1,260,384,1509
02840724	2	341,1109
0284081b	2	241,1190
02842232	3	631,657,1269
02843824	3	269,440,1664
0284401b	3	241,477,1188
02844324	3	341,440,1325
02844624	3	341,440,1509
02844720	3	341,1325,1509
02844813	1	241
02844819	3	241,477,1386
0284481a	4	241,1188,1190,1192
0284482a	4	241,440,1178,1509
02844849	4	217,241,1383,1610
0284484a	3	241,1173,1192
02844851	4	71,217,241,1501
02844852	3	241,1192,1263
02844858	4	241,1119,1192,1318
02844891	3	241,1386,1501
028448c8	4	155,241,1173,1610
028448d0	2	241,1501
02849824	3	269,440,1118
0284b024	4	269,1111,1118,1269
0284b820	2	269,1664
02872048	3	19,314,1194
02872408	2	52,314
02880447	4	217,334,1520,1598
02882407	2	334,1664
02882446	2	334,1264
02882486	4	55,334,1051,1322
02882498	4	52,223,761,1614
02882a28	4	175,631,1521,1664
02882b08	3	175,223,1664
02889448	4	210,217,797,1614
0288c448	2	1295,1614
0288d048	1	1614
028b4820	3	370,1509,1664
028e8201	3	212,257,433
02a11422	4	171,1145,1185,1509
02a11424	4	171,219,1078,1122
02a88124	4	265,1251,1288,1432
02b04288	3	47,211,1117
02b11404	3	171,1078,1232
02c22224	4	116,119,1038,1256
02c88124	4	220,265,1109,1235
02d22220	1	1038
02d81011	3	0,136,250
02e08128	3	265,1109,1196
02e88024	3	220,265,1251
03003065	4	246,1184,1340,1554
03050059	4	1263,1387,1564,1590
030a0056	4	1051,1262,1263,1564
030a00a9	4	1051,1380,1564,1590
03288248	2	402,1564
03414811	4	102,148,632,1656
03444448	4	167,336,1034,1589
03481188	2	885,1517
03828828	4	76,179,398,631
040122e8	4	371,1194,1581,1625
0401888b	4	5,154,1180,1194
04021487	4	90,209,275,1052
04021b18	4	160,363,422,456
0402224b	4	90,1193,1194,1510
04024271	4	38,1292,1437,1488
040288d8	2	288,1194
0404114b	4	1337,1387,1483,1576
040412d4	4	485,1261,1437,1520
04042788	2	31,63
04042872	4	142,221,1257,1489
040444b8	1	1549
0404d888	4	127,155,1118,1576
04081178	4	22,396,1304,1525
0408182e	3	32,1118,1270
0408441b	3	1192,1488,1645
040882b2	3	296,1261,1488
04088d48	3	1623,1635,1644
04108714	2	6,93
0410e488	4	48,1180,1295,1550
04114291	4	59,445,919,1386
04118883	4	5,154,291,307
04122198	3	472,1189,1544
04122a48	4	19,57,1084,1510
04125148	4	123,124,1097,1576
04129148	2	124,1174
0412c148	3	124,1183,1371
0414021e	3	49,1273,1285
04140d21	4	18,152,1274,1649
04147011	3	0,264,1647
0414801e	1	1273
04161484	3	170,893,1076
041b8011	4	42,104,172,215
04208d48	1	1644
042101d4	4	82,274,1259,1317
0421044e	4	1104,1185,1194,1282
04212426	4	137,1250,1282,1581
04212b01	4	31,137,160,202
0421d401	2	1553,1643
0422081d	2	141,1601
04223822	4	123,452,646,1489
0422401d	3	141,445,1318
04224702	2	324,1321
0422480d	1	141
04224815	2	141,445
04224819	3	141,1386,1601
0422481c	3	141,1123,1318
04224834	4	141,782,1123,1270
0422488c	4	141,267,1106,1117
04238248	4	469,1194,1533,1625
0424012b	4	152,344,1325,1337
04240872	4	1255,1260,1304,1516
0424102b	2	1337,1582
04241143	4	227,1337,1475,1483
04241e04	4	6,13,18,137
0424e024	3	414,474,1251
0424e104	2	414,474
04258248	4	469,1035,1387,1625
04268248	4	469,1035,1110,1260
04278208	1	469
04280d48	3	1304,1623,1644
04283248	4	43,1304,1623,1625
04286248	4	43,1304,1318,1623
04287208	2	43,123
04288216	4	296,1261,1262,1272
04288225	4	296,1430,1542,1653
04288292	3	296,391,1261
042882b0	4	288,296,1304,1646
04288548	4	1304,1623,1635,1644
04288948	3	1304,1635,1644
04288c48	3	1304,1623,1644
04288d40	2	1635,1644
042b1024	3	140,344,462
042d4802	2	226,423
042e2401	4	31,133,344,1649
04311844	3	304,1236,1394
04344448	3	336,1035,1363
044044b8	4	1109,1549,1550,1601
04408e81	3	6,1517,1552
04410d12	3	1274,1598,1662
044122a8	4	371,729,1179,1549
04418074	4	82,348,435,1256
044404b8	3	1109,1549,1601
04442816	3	142,267,1322
04443444	4	246,1418,1623,1655
04444047	3	142,348,1520
044440b8	2	1549,1550
04444342	4	348,1377,1471,1527
04444438	3	1048,1549,1601
04444443	3	1048,1463,1598
04444498	2	1048,1549
044444a8	4	1048,1109,1549,1550
044444b0	2	1048,1549
04444b40	2	348,1527
04449448	4	127,1159,1623,1655
0444a448	3	63,1623,1655
0444b440	2	1623,1655
0448401b	4	1144,1433,1479,1645
0448d024	4	54,1118,1270,1314
04494281	4	348,938,1433,1656
04494448	3	348,1036,1623
044a4448	3	1036,1088,1623
044b4440	3	348,1036,1623
044c8822	3	118,332,1379
04588248	3	132,1623,1635
04611848	4	304,1152,1314,1625
04708422	3	152,330,1477
04711808	4	136,304,1079,1152
04784101	4	357,1377,1416,1635
04808b22	3	438,1551,1552
04811348	4	1098,1103,1171,1625
04811648	4	64,1159,1185,1625
04811740	3	93,437,1625
0481e840	2	206,221
04820d84	3	248,267,1109
04824252	4	38,189,589,1262
04824261	4	38,81,109,1619
04824270	4	38,589,944,1292
04828449	4	64,109,1369,1610
04828492	4	109,275,291,919
04842072	4	38,221,282,1264
04842232	3	38,414,600
048481a1	4	434,464,729,1430
048481c8	4	342,434,1035,1103
04848425	4	64,109,130,286
04862421	4	109,793,1455,1649
04874021	4	318,669,904,1656
04874101	3	318,1369,1420
0488082e	4	32,226,1271,1278
04944448	4	343,1035,1165,1610
04a22148	4	417,1035,1098,1106
04a44448	3	336,1035,1185
04b01212	4	41,284,1264,1516
04b04444	4	255,1035,1424,1648
04b08181	4	152,291,305,307
04b44048	2	47,1035
04b44440	1	1035
04c12481	4	193,729,1385,1519
04d12401	2	193,1649
04d24802	2	189,226
04d41024	3	440,1252,1633
04d41104	2	396,1633
04d88240	2	132,1635
04e01488	4	1109,1517,1519,1582
04e04221	4	14,119,1552,1656
04e08814	4	151,310,377,1119
04e22108	4	417,1098,1290,1422
04e48011	3	214,310,377
04e48801	4	310,377,1422,1591
05112881	4	16,513,1394,1499
05414811	3	102,148,1656
05422422	4	53,169,551,782
05442114	4	195,476,600,1241
05812124	4	219,271,600,1098
05821122	4	463,832,1270,1311
05882448	4	112,133,210,1623
0600905c	4	1118,1316,1318,1483
060090a3	4	1118,1476,1483,1562
06030035	3	209,219,1616
0603003a	2	1194,1303
060300c5	3	1194,1520,1566
060c0035	1	1520
060c003a	3	1286,1304,1549
060c00ca	3	1172,1194,1520
06142424	4	44,146,440,1649
06184848	4	188,827,1279,1318
06244428	4	147,336,669,1325
06248821	4	155,543,877,1325
06414811	4	88,102,827,1656
07101822	4	28,1184,1270,1311
07102218	4	26,476,1318,1389
07104184	1	443
07118048	4	1103,1194,1577,1624
07202844	3	106,1248,1318
07204428	3	76,336,466
07211082	3	280,439,1194
07240428	3	336,1110,1590
07401148	4	210,1184,1576,1577
07404811	2	102,1656
07414011	3	102,1577,1656
07414801	4	88,102,1577,1656
07448204	3	23,220,1297
07481108	3	210,476,1577
07804242	2	76,466
07812024	2	106,219
07888880	2	226,1029
08011272	3	1303,1583,1628
0801481e	4	1123,1192,1277,1303
0802241d	4	68,432,1105,1436
08022478	4	432,1105,1303,1534
080248b2	4	183,200,1291,1303
0802d482	3	413,1301,1562
08041712	4	293,389,475,493
08044174	4	245,331,1123,1437
08044447	4	1034,1301,1473,1482
080484d2	4	66,164,1033,1172
08074222	4	1250,1303,1307,1473
08081187	4	1301,1562,1629,1636
080814b4	4	323,1052,1105,1646
08088871	3	3,340,1436
0808b222	4	292,1269,1562,1653
080d2482	4	502,1172,1250,1629
08104174	4	245,331,1123,1437
08112215	4	284,352,1504,1524
08112223	4	1456,1487,1504,1653
08112528	4	311,461,493,1534
08117048	3	0,461,1647
08117408	3	461,1097,1158
08118486	4	289,1242,1250,1259
08140174	4	71,232,245,1255
08140178	4	245,1186,1373,1387
0814082d	4	130,156,440,1117
08143182	4	1189,1252,1291,1627
08144074	4	71,245,440,1255
08144134	4	232,245,440,1123
08144154	4	71,245,331,1437
08144158	3	245,1320,1387
08144682	4	379,1033,1158,1307
08144c82	4	183,379,1150,1458
08144e80	2	379,1579
0814a188	3	1366,1376,1627
0818048e	4	1172,1275,1280,1526
08180b41	4	72,1039,1516,1626
08194184	4	135,480,1065,1621
081d0214	4	75,352,1089,1229
08202744	1	157
082028b4	4	1108,1117,1269,1646
082044d8	4	66,97,1192,1295
08210d81	4	152,204,1406,1467
08211072	3	1264,1303,1583
08211232	3	1272,1303,1583
08211252	4	1264,1516,1583,1628
08211262	3	1185,1583,1628
08211c82	3	204,1104,1226
0821c282	4	135,1245,1251,1307
0821c288	3	135,1065,1295
0821e082	3	135,439,1251
0821e280	1	135
