parent	radius	flips	target_kind	target_index
85	1	21,24	base	131
85	1	20,34	base	80
85	1	34,41	base	86
85	1	36,41	base	78
85	4	3,8;0,27;19,36;35,38	base	157
86	1	2,3	base	132
86	1	16,17	base	21
86	1	20,21	base	79
86	1	24,25	base	130
86	1	21,35	base	85
86	1	34,35	base	77
86	4	3,8;0,27;19,34;36,39	base	156
87	1	12,14	base	30
87	1	18,23	base	70
87	1	22,34	base	158
87	1	17,36	base	138
87	1	35,37	base	134
87	1	21,38	base	135
87	1	37,38	base	136
87	4	15,19;0,21;26,34;16,39	base	93
88	1	11,14	base	48
88	1	18,22	base	69
88	1	21,33	base	102
88	1	17,34	base	143
88	1	35,37	base	141
88	1	36,37	base	90
88	1	36,40	base	137
89	1	12,13	base	2
89	1	18,19	base	85
89	1	22,24	base	187
89	1	23,37	base	94
89	1	37,41	base	132
89	1	38,41	base	95
89	4	4,19;0,28;30,36;17,38	base	141
90	1	12,14	base	43
90	1	18,22	base	67
90	1	21,33	base	105
90	1	17,34	complement	40
90	1	38,40	base	135
90	1	35,41	base	134
90	1	40,41	base	88
91	1	10,15	base	121
91	1	19,20	base	108
91	1	22,32	base	103
91	1	33,36	complement	40
91	1	35,37	base	135
91	1	34,41	base	138
91	1	36,41	base	140
92	1	12,13	base	7
92	1	18,19	base	95
92	1	20,21	base	77
92	1	18,22	base	132
92	1	19,23	base	132
92	1	26,27	base	166
93	1	12,13	base	9
93	1	18,19	base	79
93	1	22,23	base	167
93	1	36,37	base	94
93	1	36,38	base	132
93	1	37,39	base	132
93	4	5,18;1,27;32,35;15,38	base	87
93	4	4,19;0,26;33,34;14,39	base	87
94	1	12,13	base	10
94	1	18,19	base	80
94	1	22,23	base	168
94	1	36,40	base	89
94	1	37,41	base	89
94	1	40,41	base	93
94	4	5,18;1,27;32,35;15,36	base	134
94	4	4,19;0,26;33,34;14,37	base	134
95	1	12,13	base	8
95	1	18,19	base	78
95	1	24,25	base	169
95	1	20,38	base	89
95	1	21,39	base	89
95	1	38,39	base	92
96	1	2,5	base	133
96	1	13,15	base	62
96	1	23,34	base	116
96	1	20,35	base	97
96	1	31,38	base	66
96	1	35,40	base	106
96	1	36,40	base	110
97	1	2,5	complement	40
97	1	13,15	base	74
97	1	22,33	base	179
97	1	30,37	base	67
97	1	35,39	base	108
97	1	34,41	base	96
97	1	39,41	base	107
98	1	1,3	base	103
98	1	4,16	base	108
98	1	12,21	base	83
98	1	32,35	base	179
98	1	33,37	base	99
98	1	35,41	base	183
98	1	36,41	base	181
98	4	4,9;6,25;28,34;15,41	base	230
99	1	1,3	base	101
99	1	4,16	base	109
99	1	12,22	base	81
99	1	17,32	base	98
99	1	33,36	base	180
99	1	36,41	base	182
99	1	37,41	base	155
99	4	4,10;6,25;30,35;15,41	base	243
100	1	4,14	complement	40
100	1	12,17	base	119
100	1	19,23	base	179
100	1	33,35	base	105
100	1	38,39	base	103
100	1	34,41	base	160
100	1	39,41	base	164
100	4	4,6;3,26;31,32;16,41	base	215
101	1	4,15	base	135
101	1	9,19	base	219
101	1	20,23	base	99
101	1	18,30	base	103
101	1	35,37	base	105
101	1	36,41	base	158
101	1	37,41	base	104
101	4	4,6;2,26;32,34;14,41	base	206
102	1	4,15	base	88
102	1	12,17	base	36
102	1	19,23	base	185
102	1	18,33	base	164
102	1	35,37	base	157
102	1	36,37	base	105
102	1	36,39	base	104
103	1	4,15	base	91
103	1	8,18	base	218
103	1	20,22	base	98
103	1	33,36	base	100
103	1	35,37	base	101
103	1	34,41	base	162
103	1	36,41	base	165
103	4	4,6;2,25;30,32;14,41	base	195
104	1	4,14	base	137
104	1	9,20	base	32
104	1	17,25	base	182
104	1	19,34	base	165
104	1	22,36	base	102
104	1	22,38	base	101
104	1	37,38	base	156
105	1	4,15	base	90
105	1	7,20	base	120
105	1	19,24	base	180
105	1	21,30	base	100
105	1	35,39	base	159
105	1	37,41	base	101
105	1	39,41	base	102
105	4	4,6;2,25;33,34;13,39	base	207
106	1	1,5	base	142
106	1	13,16	base	58
106	1	20,24	base	107
106	1	23,33	base	115
106	1	24,36	base	96
106	1	36,37	base	111
106	1	32,40	base	68
107	1	1,5	base	143
107	1	13,16	base	64
107	1	22,31	base	117
107	1	34,36	base	97
107	1	35,36	base	106
107	1	34,37	base	112
107	1	30,40	base	69
108	1	2,3	base	91
108	1	13,16	base	73
108	1	22,34	base	98
108	1	29,35	base	97
108	1	33,37	base	109
108	1	35,41	base	112
