record	roots	branches_unsat	base_clauses	source_clauses	source_reported_proof_bytes
557	43	903	233487	251590	1206523
558	43	903	233589	251692	1222160
559	43	903	233575	251678	1150280
560	43	903	233583	251686	1080732
561	43	903	233487	251590	1145611
562	43	903	233376	251479	1080666
563	43	903	233766	251869	1110399
564	43	903	233416	251519	1138464
565	43	903	233514	251617	1215909
566	43	903	233602	251705	1086398
567	43	903	233367	251470	1097205
568	43	903	233932	252035	1117169
569	43	903	233560	251663	1116731
570	43	903	233916	252019	1147382
571	43	903	233539	251642	1143582
572	43	903	233673	251776	1287692
573	43	903	233486	251589	1107040
574	43	903	233657	251760	1140211
575	43	903	233841	251944	1171365
576	43	903	233641	251744	1121524
577	43	903	233179	251282	1169611
578	43	903	233631	251734	1134264
579	43	903	233621	251724	1114350
580	43	903	233321	251424	1081336
581	43	903	233628	251731	1137066
582	43	903	233602	251705	1175372
583	43	903	233802	251905	1166411
584	43	903	233737	251840	1163301
585	43	903	233787	251890	1234536
586	43	903	233678	251781	1150609
587	43	903	233763	251866	1221635
588	43	903	233442	251545	1296284
589	43	903	233051	251154	1062769
590	43	903	233627	251730	1134693
591	43	903	233663	251766	1163562
592	43	903	233230	251333	1116163
593	43	903	233723	251826	1238869
594	43	903	233825	251928	1204315
595	43	903	233527	251630	1121846
596	43	903	233660	251763	1136703
597	43	903	233452	251555	1073096
598	43	903	233669	251772	1121696
599	43	903	233627	251730	1022648
600	43	903	233774	251877	1198253
601	43	903	233751	251854	1141552
602	43	903	233707	251810	1161059
603	43	903	233983	252086	1178969
604	43	903	233313	251416	1120534
605	43	903	233763	251866	1105056
606	43	903	233423	251526	1145155
607	43	903	233960	252063	1215009
608	43	903	233813	251916	1230276
609	43	903	233229	251332	1106375
610	43	903	233419	251522	1091993
611	43	903	233665	251768	1192518
612	43	903	233672	251775	1149124
613	43	903	233865	251968	1066300
614	43	903	233300	251403	1085516
615	43	903	233692	251795	1098253
616	43	903	233187	251290	1121644
617	43	903	233921	252024	1120438
618	43	903	233813	251916	1187469
619	43	903	233942	252045	1218372
620	43	903	233505	251608	1095779
621	43	903	233139	251242	1050818
622	43	903	233657	251760	1156363
623	43	903	233538	251641	1101893
624	43	903	232942	251045	1078110
625	43	903	233635	251738	1130401
626	43	903	233824	251927	1145256
627	43	903	232906	251009	997608
628	43	903	233711	251814	1070230
629	43	903	233305	251408	1131531
630	43	903	233033	251136	1077294
631	43	903	233764	251867	1192554
632	43	903	233565	251668	1271507
633	43	903	233785	251888	1175207
634	43	903	233637	251740	1228677
635	43	903	232987	251090	1057039
636	43	903	233560	251663	1125115
637	43	903	233476	251579	1156429
638	43	903	233763	251866	1153617
639	43	903	233769	251872	1174145
640	43	903	233276	251379	1203853
641	43	903	233737	251840	1268176
642	43	903	233913	252016	1251379
643	43	903	233802	251905	1149172
644	43	903	233665	251768	1122922
645	43	903	233727	251830	1144888
646	43	903	233615	251718	1147409
647	43	903	233545	251648	1183183
648	43	903	233223	251326	1071938
649	43	903	233279	251382	1122310
650	43	903	233951	252054	1067094
651	43	903	233668	251771	1125768
652	43	903	233767	251870	1201321
653	43	903	233457	251560	1107222
654	43	903	233607	251710	1138757
655	43	903	233654	251757	1065778
656	43	903	233736	251839	1180022
657	43	903	233234	251337	1073429
658	43	903	233632	251735	1170364
659	43	903	233539	251642	1142471
660	43	903	233490	251593	1033243
661	43	903	233390	251493	1040016
662	43	903	233850	251953	1138720
663	43	903	233406	251509	1127963
664	43	903	233753	251856	1134304
665	43	903	233198	251301	1185946
666	43	903	233344	251447	1151064
667	43	903	233708	251811	1137883
668	43	903	233078	251181	1227928
669	43	903	233676	251779	1150585
670	43	903	233476	251579	1103351
671	43	903	233406	251509	1116863
672	43	903	232979	251082	1062370
673	43	903	233549	251652	1188335
674	43	903	233490	251593	1111975
675	43	903	234007	252110	1166707
676	43	903	233363	251466	1145505
677	43	903	233413	251516	1092945
678	43	903	233294	251397	1177839
679	43	903	233614	251717	1099378
680	43	903	233743	251846	1093330
681	43	903	234124	252227	1148659
682	43	903	233843	251946	1218069
683	43	903	233595	251698	1205229
684	43	903	233518	251621	1164765
685	43	903	233365	251468	1084032
686	43	903	233269	251372	1106459
687	43	903	233722	251825	1200038
688	43	903	233557	251660	1327899
689	43	903	233730	251833	1196415
690	43	903	233539	251642	1150266
691	43	903	233621	251724	1190288
692	43	903	233628	251731	1319413
693	43	903	233884	251987	1211076
694	43	903	233285	251388	1084342
695	43	903	233486	251589	1067171
696	43	903	233506	251609	1095611
697	43	903	233393	251496	1094008
698	43	903	233232	251335	1128282
699	43	903	233819	251922	1088850
700	43	903	233332	251435	1046263
701	43	903	233363	251466	1092854
702	43	903	233942	252045	1184091
703	43	903	233084	251187	1106728
704	43	903	233723	251826	1240873
705	43	903	233115	251218	1067588
706	43	903	233618	251721	1180065
707	43	903	233713	251816	1144709
708	43	903	233320	251423	1116713
709	43	903	233170	251273	1095210
710	43	903	233016	251119	1262122
711	43	903	233487	251590	1165924
712	43	903	233956	252059	1163870
713	43	903	233343	251446	1046219
714	43	903	233187	251290	1106964
715	43	903	233794	251897	1141138
716	43	903	233394	251497	1120061
717	43	903	233632	251735	1114007
718	43	903	233084	251187	1039910
719	43	903	233534	251637	1103271
720	43	903	233515	251618	1072513
721	43	903	233514	251617	1193968
722	43	903	233035	251138	1104482
723	43	903	233709	251812	1109150
724	43	903	233584	251687	1125334
725	43	903	233906	252009	1075125
726	43	903	233640	251743	1200846
727	43	903	233078	251181	1053151
728	43	903	233680	251783	1142641
729	43	903	233633	251736	1194197
730	43	903	233603	251706	1188022
731	43	903	233637	251740	1168852
732	43	903	233787	251890	1188108
733	43	903	233411	251514	1073346
734	43	903	233376	251479	1196293
735	43	903	233248	251351	1162723
736	43	903	233941	252044	1159577
737	43	903	233607	251710	1125966
738	43	903	233281	251384	1128228
739	43	903	233466	251569	1143311
740	43	903	233608	251711	1149952
741	43	903	233916	252019	1246248
742	43	903	233294	251397	1249737
743	43	903	233566	251669	1201223
744	43	903	233868	251971	1232026
745	43	903	233681	251784	1091378
746	43	903	233780	251883	1198015
747	43	903	233302	251405	1047902
748	43	903	233724	251827	1128258
749	43	903	233557	251660	1150366
750	43	903	233640	251743	1184516
751	43	903	234009	252112	1208649
752	43	903	233723	251826	1146844
753	43	903	233334	251437	1088844
754	43	903	233434	251537	1225254
755	43	903	233279	251382	1289157
756	43	903	233654	251757	1231988
757	43	903	233538	251641	1218270
758	43	903	233469	251572	1127184
759	43	903	232974	251077	1066284
760	43	903	233092	251195	1064140
761	43	903	233325	251428	1327152
762	43	903	233843	251946	1158607
763	43	903	233707	251810	1139256
764	43	903	233553	251656	1140150
765	43	903	233808	251911	1150030
766	43	903	234058	252161	1210273
767	43	903	233682	251785	1100812
768	43	903	233629	251732	1153402
769	43	903	233698	251801	1090867
770	43	903	233634	251737	1098028
771	43	903	233115	251218	1081180
772	43	903	233274	251377	1133309
773	43	903	233554	251657	1162928
774	43	903	233582	251685	1160382
775	43	903	233743	251846	1157632
776	43	903	233621	251724	1170626
777	43	903	233170	251273	1145607
778	43	903	233672	251775	1145927
779	43	903	233556	251659	1163834
780	43	903	234118	252221	1124776
781	43	903	233400	251503	1169873
782	43	903	233582	251685	1173235
783	43	903	233519	251622	1190698
784	43	903	233343	251446	1111745
785	43	903	233816	251919	1183437
786	43	903	232864	250967	1055947
787	43	903	233027	251130	1062854
788	43	903	233932	252035	1169319
789	43	903	233562	251665	1173068
790	43	903	234071	252174	1215628
791	43	903	233499	251602	1115898
792	43	903	233182	251285	1103039
793	43	903	233745	251848	1126020
794	43	903	233292	251395	1122002
795	43	903	233322	251425	1024163
796	43	903	233788	251891	1110378
797	43	903	233519	251622	1063646
798	43	903	233502	251605	1086889
799	43	903	233617	251720	1139452
800	43	903	233592	251695	1101458
801	43	903	233551	251654	1108041
802	43	903	233545	251648	1091591
803	43	903	233635	251738	1130586
804	43	903	233833	251936	1208927
805	43	903	233563	251666	1069110
806	43	903	233713	251816	1124071
807	43	903	233553	251656	1134240
808	43	903	234119	252222	1105414
809	43	903	233695	251798	1222073
810	43	903	233862	251965	1175919
811	43	903	233679	251782	1149798
812	43	903	233739	251842	1145784
