source	step	kind	edge_index	value	v0	v1	v2	v3	v4
5	1	ASSIGN	753	0	0	2	25	27	29
5	2	ASSIGN	40	1	0	3	6	9	41
5	3	ASSIGN	19	1	0	3	9	20	35
5	4	ASSIGN	143	1	0	3	9	24	35
5	5	ASSIGN	41	1	0	3	37	38	42
5	6	ASSIGN	20	1	0	4	15	21	32
5	7	ASSIGN	427	1	0	6	11	15	32
5	8	ASSIGN	429	1	0	6	11	15	34
5	9	ASSIGN	849	1	0	6	15	32	34
5	10	ASSIGN	654	0	0	7	20	25	27
5	11	ASSIGN	675	0	0	7	21	23	25
5	12	ASSIGN	700	0	0	12	22	30	42
5	13	ASSIGN	658	0	0	13	20	27	29
5	14	ASSIGN	757	0	0	13	23	25	33
5	15	ASSIGN	42	1	1	2	5	6	10
5	16	ASSIGN	43	1	1	3	6	9	12
5	17	ASSIGN	586	0	1	3	17	19	26
5	18	ASSIGN	676	0	1	3	21	26	28
5	19	ASSIGN	680	0	1	3	21	28	30
5	20	ASSIGN	770	0	1	3	26	28	30
5	21	ASSIGN	274	1	1	4	7	9	12
5	22	ASSIGN	376	1	1	4	7	10	12
5	23	ASSIGN	63	1	1	4	12	23	38
5	24	ASSIGN	342	1	1	5	6	9	10
5	25	ASSIGN	361	1	1	5	9	20	29
5	26	ASSIGN	397	1	1	5	10	16	33
5	27	ASSIGN	294	1	1	7	10	18	29
5	28	ASSIGN	458	1	1	7	12	16	33
5	29	ASSIGN	64	1	1	7	16	24	35
5	30	ASSIGN	696	0	1	8	22	24	26
5	31	ASSIGN	735	0	1	8	24	26	28
5	32	ASSIGN	670	1	1	9	20	35	41
5	33	ASSIGN	582	0	1	15	17	22	42
5	34	ASSIGN	83	1	2	3	6	40	41
5	35	ASSIGN	375	1	2	5	6	10	11
5	36	ASSIGN	309	1	2	5	8	10	13
5	37	ASSIGN	104	1	2	5	13	24	39
5	38	ASSIGN	394	1	2	6	10	21	30
5	39	ASSIGN	103	1	2	6	17	23	34
5	40	ASSIGN	691	1	2	6	21	30	41
5	41	ASSIGN	295	1	2	7	11	26	30
5	42	ASSIGN	329	1	2	8	11	19	30
5	43	ASSIGN	649	1	2	8	19	34	42
5	44	ASSIGN	628	1	2	10	13	19	21
5	45	ASSIGN	692	1	2	10	21	36	42
5	46	ASSIGN	648	1	2	13	19	30	41
5	47	ASSIGN	653	0	2	20	22	24	38
5	48	ASSIGN	585	0	3	4	5	17	25
5	49	ASSIGN	750	0	3	4	5	25	26
5	50	ASSIGN	740	0	3	4	17	24	33
5	51	ASSIGN	752	0	3	5	15	25	28
5	52	ASSIGN	581	0	3	5	17	19	21
5	53	ASSIGN	754	0	3	5	25	30	32
5	54	ASSIGN	142	1	3	6	12	23	38
5	55	ASSIGN	330	1	3	8	12	27	31
5	56	ASSIGN	328	1	3	8	12	29	40
5	57	ASSIGN	363	1	3	9	12	20	31
5	58	ASSIGN	802	0	3	10	26	28	33
5	59	ASSIGN	813	1	3	12	20	29	31
5	60	ASSIGN	671	1	3	14	20	31	42
5	61	ASSIGN	902	1	3	37	38	41	42
5	62	ASSIGN	736	0	4	6	22	24	29
5	63	ASSIGN	815	0	4	6	29	31	33
5	64	ASSIGN	273	1	4	7	8	12	13
