# orientation_index first_overlap second_overlap
26 7020 38490
26 42380 43917
26 174 14086
26 28887 46574
26 16538 37941
26 5382 16607
26 2757 5597
26 42211 42685
26 17487 41928
26 3955 18842
26 13231 42691
26 11878 13946
26 20451 28869
26 33204 37945
26 35259 49677
26 15993 37393
26 4823 19602
26 21225 42651
26 21292 42997
26 21778 46983
27 40122 43810
27 4585 35174
27 13366 43425
27 26129 38099
27 22206 43869
27 7652 18949
27 3558 36353
27 580 13679
27 3479 24669
27 20017 35387
27 3415 24654
27 3694 11180
27 43450 47617
27 3428 15118
27 3291 45622
27 4630 18642
27 36626 46967
27 1638 14730
27 3027 46174
27 29459 46438
27 4390 50212
27 4093 19797
27 1670 14765
27 1987 10021
27 4400 18373
27 7427 30594
27 17083 18181
27 31726 39493
27 3141 24109
27 20861 30194
27 12821 43056
27 42572 47243
27 30077 34847
28 21949 30466
28 40121 43815
28 22245 43814
28 27147 46003
28 31635 35121
28 19409 46054
28 14858 34599
28 22282 43851
28 2123 10293
28 30349 35119
28 17219 17637
28 14315 34072
28 23294 42237
28 39034 42178
28 3687 23566
28 4429 16469
28 3563 45894
28 26673 38643
28 19454 34282
28 1680 14753
28 1124 14223
28 28614 30325
28 7365 46446
28 3014 36897
28 10017 29667
28 3150 11724
28 23029 46689
28 1712 25507
28 20857 30193
28 20906 46478
28 10925 13811
28 12820 43060
28 30229 46425
28 42682 43028
29 22342 43870
29 30523 38316
29 3890 38572
29 30464 38248
29 4238 20010
29 8162 18516
29 187 26941
29 4811 19597
29 16537 37937
29 5045 18300
29 718 14630
29 3020 11038
29 7124 20787
29 1580 17813
29 43087 43429
29 42633 49316
29 5932 37402
29 25487 38862
29 10187 44612
29 3569 14227
29 27255 46302
29 20164 42234
29 42285 43196
29 15991 37362
29 12141 43427
29 21290 42993
29 12143 43507
30 40061 45202
30 1094 7250
30 12642 34457
30 677 19798
30 27252 48438
30 40524 44453
30 3723 8872
30 17460 41213
30 41287 48820
30 627 3710
30 3212 7241
30 29861 45200
30 4674 26540
30 595 8854
30 13919 28027
30 28598 49640
30 34445 40937
30 5213 25473
30 7222 26575
30 7303 26654
30 19566 24941
30 3720 8867
30 28597 49368
30 549 19785
30 7242 11751
30 2227 29879
30 3690 8865
30 23175 41270
30 3480 8049
30 3183 7232
30 18707 24152
30 12433 42423
31 32465 36692
31 20101 37049
31 13588 41152
31 14335 16781
31 13589 33407
31 8671 11605
31 28134 43213
31 215 3319
31 3582 9409
31 3047 26389
31 13043 33285
31 221 8592
31 156 18833
31 26556 45061
31 39870 46946
31 150 18773
31 11607 26939
31 12972 33198
31 4782 34203
31 3300 8578
31 4019 26940
31 3030 7766
31 13052 40884
31 20301 40546
31 39352 46798
31 14180 14555
31 761 9412
31 7830 11054
31 10917 12388
31 33612 47681
31 3042 7781
31 10523 25853
31 33078 48825
31 16153 44979
31 8627 23667
32 13157 22423
32 6363 50439
32 26758 34781
32 28111 43219
32 11395 15093
32 269 8663
32 22223 45156
32 814 19391
32 13599 33417
32 7813 24803
32 815 19397
32 8688 27007
32 24382 46954
32 3580 9419
32 220 8602
32 45071 49642
32 34327 41087
32 1242 7768
32 22250 25238
32 2994 26424
32 3319 8592
32 3043 7784
32 218 3302
32 33290 49419
32 16859 19122
32 9396 25884
32 7766 26432
32 141 8608
32 15176 18298
32 18781 23715
32 33766 47738
32 14876 28575
32 8578 26980
32 1272 7764
32 186 23702
32 267 18850
32 158 8588
32 5052 26449
32 9465 25920
32 2350 46937
32 3316 8599
32 18235 24799
32 29586 45335
32 40876 48955
32 23837 46814
32 3583 9412
32 29615 48593
32 44358 49804
32 3122 7852
32 13467 33326
32 39380 44793
32 12612 21331
32 12571 43784
33 6866 12979
33 22282 39948
33 34621 35545
33 41285 48330
33 47085 50176
33 13186 33412
33 8868 11201
33 30026 37210
33 5173 25497
33 3825 33520
33 3753 8867
33 3721 8870
33 3445 8050
33 13178 33402
33 1759 19251
33 7285 11734
33 12554 33214
33 40035 47068
33 23158 48282
33 30052 50100
33 29005 49640
33 3709 8852
33 12638 33272
33 3166 7222
33 19775 27622
33 3436 8034
33 25308 45099
33 13107 33334
33 25034 35785
33 22749 39985
33 4135 27618
33 8048 10653
33 8920 26013
33 8103 10644
33 3181 7242
33 3942 33553
33 5782 13525
34 22284 43235
34 8935 26110
34 13180 33406
34 12646 34461
34 8874 11207
34 8058 24667
34 3725 26073
34 3401 25502
34 24652 29319
34 22087 40998
34 3756 8873
34 3727 8864
34 29995 44652
34 3451 8056
34 14469 28915
34 1764 19259
34 3208 7233
34 18411 28028
34 8036 25483
34 13923 28029
34 17310 25175
34 7218 26567
34 8854 26031
34 2042 34062
34 15908 18987
34 4435 14318
34 1683 8038
34 1135 7220
34 17138 19939
34 1715 3438
34 28884 48030
34 3724 8871
34 13994 28093
34 12098 33913
34 7234 11743
34 1754 8106
34 4669 26561
34 1637 19241
34 3175 7236
34 4211 26053
34 550 8882
34 39517 44930
34 31236 36289
35 1555 23458
35 1293 7844
35 34756 35410
35 3586 9413
35 217 8596
35 11063 26395
35 5107 26396
35 13000 33210
35 13636 14011
35 34700 47273
35 39326 46810
35 33287 49413
35 16853 19120
35 39892 46932
35 11611 26941
35 12428 33062
35 3301 8580
35 13045 33271
35 7855 11061
35 12396 40592
35 1238 18229
35 3574 9398
35 3028 7762
35 13044 40880
35 20302 40550
35 3591 25845
35 9468 25922
35 7826 11052
35 3310 8593
35 692 19321
35 4271 33609
35 4567 25850
35 1309 7776
35 693 24259
35 10527 25855
35 1303 3047
35 1356 18302
35 4027 26981
35 13791 16237
35 47112 49693
35 23855 46882
35 12508 40612
36 13156 22419
36 811 19394
36 17508 41214
36 3588 9415
36 183 18789
36 3108 15166
36 1771 33661
36 28637 41936
36 45067 49641
36 1247 2995
36 14214 14613
36 19325 24259
36 3315 8600
36 3039 7780
36 762 3574
36 17540 45530
36 184 8580
36 732 9398
36 9394 25892
36 7764 26428
36 16493 39866
36 8629 23715
36 18779 23711
36 12460 40531
36 28052 48960
36 13046 40881
36 8582 26976
36 1268 7762
36 24926 47090
36 29393 47233
36 764 9418
36 12959 33219
36 18143 40534
36 3036 7787
36 1304 7778
36 3591 9408
36 1358 18303
36 14088 18842
36 21327 36352
37 6862 12977
37 3462 8122
37 19273 24750
37 1694 8111
37 1169 7248
37 8864 11197
37 1125 7226
37 1729 3455
37 23246 33431
37 3453 8058
37 8919 11188
37 7283 11733
37 4085 26041
37 3209 7235
37 18687 28438
37 22068 40953
37 20573 38897
37 3708 8850
37 3165 7220
37 3438 8038
37 39495 46934
37 20211 25038
37 22748 45155
37 20982 47466
37 1642 19182
37 33217 49235
37 8924 26012
37 7236 11745
37 8101 10646
37 3177 7238
37 1716 19228
37 39018 46814
37 15099 19218
37 12098 33140
37 1219 18709
37 331 24957
37 6507 31780
38 40379 43831
38 7021 33343
38 21542 30179
38 8756 36835
38 34350 38045
38 191 14110
38 5266 26623
38 9912 45157
38 22643 44554
38 1275 15202
38 36742 47138
38 4765 19598
38 21309 39284
38 21253 42576
38 20482 28036
38 4264 19161
38 21220 43015
38 37568 46376
38 6442 7518
38 12126 43002
39 1405 26828
39 40157 44218
39 4393 18405
39 22282 44306
39 42284 49661
39 3405 10653
39 1136 14248
39 39612 43407
39 5488 25633
39 3885 19579
39 5181 8072
39 38299 39457
39 20936 42317
39 3017 46176
39 21233 44831
39 19541 34402
39 21898 30517
39 12121 41567
39 18171 41497
39 7943 36148
39 15661 37264
39 43104 44555
39 18183 22387
39 30091 37808
39 39070 42590
39 18307 45457
39 23374 42670
40 19395 46001
40 10291 45099
40 22215 43818
40 22286 44302
40 22170 44257
40 14855 15906
40 42288 43739
40 42861 43456
40 4909 18981
40 43916 49117
40 12595 38641
40 17911 21299
40 14151 26556
40 3142 11706
40 13209 42111
40 10015 29665
40 3344 31434
40 5054 37363
40 861 26284
40 3853 8468
40 3143 11732
40 37755 38913
40 1086 37767
40 37400 46265
40 26210 33921
40 42627 47233
40 39068 42591
40 21135 43010
41 5322 18577
41 3857 38548
41 7420 19597
41 10146 44626
41 22707 44494
41 1279 15198
41 8211 18509
41 221 14032
41 6244 36386
41 1578 17811
41 33733 37498
41 4231 19118
41 731 14658
41 13786 41420
41 18037 41638
41 9605 44902
41 37634 46401
41 8468 21505
41 6477 33207
41 21510 28916
41 8516 20485
41 21295 42688
41 39223 42670
41 21844 47014
62 27419 42836
62 21357 47615
62 20674 22923
63 37206 49477
63 36114 50025
63 13138 50727
63 6618 48621
63 12690 20951
63 12124 42570
63 12593 50587
64 23124 48429
64 21627 22788
65 28985 44400
65 36253 49886
65 21429 47731
65 12790 22466
65 15251 39945
65 33947 48779
65 2603 44462
65 6545 49327
70 4524 35133
70 12823 22449
70 2873 42828
70 20269 47207
70 12865 22516
71 20962 23205
71 12594 50591
72 21706 22735
72 23128 48427
72 34356 49998
72 22111 48142
72 20561 39180
73 2875 42830
73 15387 40489
73 5867 50145
73 11293 36735
73 27353 42768
73 36797 48798
73 7380 28592
73 21373 22523
73 22517 47228
74 32584 43916
75 37366 38033
75 37866 38594
75 12423 44374
75 2214 37434
76 37910 38577
79 39351 43558
79 37867 38595
79 37457 38447
80 37903 38545
91 8597 12278
92 7783 13370
92 18255 41250
93 7616 23030
149 20861 27200
160 2177 47051
161 23029 28832
161 21949 28016
168 21532 35710
295 38675 43086
1420 28751 43816
1420 19758 24666
1420 1110 11202
1420 15013 17310
1420 11657 19367
1420 189 19314
1420 4490 24814
1420 11285 26604
1420 1108 24681
1420 14874 17038
1420 3482 3724
1420 1279 26401
1420 233 19374
1420 5301 26614
1420 11231 19231
1420 3302 3550
1420 11746 25470
1420 1178 19785
1420 13678 14629
1420 3483 3750
1420 9931 18124
1420 3414 3687
1420 3166 3686
1420 3405 3689
1420 3420 3677
1420 3317 3570
1420 3286 3542
1420 3047 3560
1420 3266 3540
1420 14359 14471
1420 3180 3431
1420 3434 3751
1420 187 10555
1420 3183 3424
1420 3404 3696
1420 3458 3713
1420 3279 3546
1420 3356 3595
1420 3089 3592
1420 3006 3549
1420 14349 14963
1420 10567 27000
1420 27292 45330
1420 27033 27466
1420 1348 24295
1420 3358 3579
1420 19212 24126
1420 3026 3545
1420 4131 11709
1420 3270 3555
1420 3288 3610
1420 2996 3554
1420 14365 25196
1420 1243 24274
1420 18813 24318
1420 3215 3503
1420 11705 25504
1420 3028 3274
1420 3323 3578
1420 2091 13988
1420 3160 3680
1420 3154 3475
1420 3088 3325
1420 2995 3271
1420 20041 39083
1420 3020 3340
1420 3213 3444
1420 3135 3421
1420 3137 3688
1420 3202 3480
1420 3146 3718
1420 3000 3537
1420 3034 3355
1420 17513 34908
1420 3003 3276
1420 3004 3573
1420 39621 47636
1420 3067 3345
1420 773 18294
1420 10521 26965
1420 5033 23734
1420 18273 23778
1420 5069 10473
1420 1648 23601
1420 10728 26020
1420 1678 23567
1420 10733 26056
1420 18678 23637
1420 2077 13873
1420 11096 25884
1421 5205 11198
1421 4537 11674
1421 1111 24687
1421 38171 38321
1421 1805 14326
1421 17321 25197
