parent	edge_1	edge_2	edge_3	edge_4	target_kind	target_index
28	0,2	20,24	18,25	22,37	base	182
28	0,2	20,24	18,25	23,38	base	112
28	0,2	20,24	22,37	23,38	base	165
28	17,24	17,32	22,37	23,38	base	31
28	17,24	18,25	17,32	22,37	base	125
28	17,24	18,25	17,32	23,38	base	62
28	17,24	18,25	22,37	23,38	base	224
28	17,24	20,24	17,32	22,37	base	120
28	17,24	20,24	17,32	23,38	base	42
28	17,24	20,24	18,25	17,32	base	75
28	17,24	20,24	18,25	22,37	base	81
28	17,24	20,24	18,25	23,38	base	73
28	17,24	20,24	22,37	23,38	base	218
28	18,25	17,32	22,37	23,38	base	223
28	20,24	17,32	22,37	23,38	base	34
28	20,24	18,25	17,32	22,37	base	122
28	20,24	18,25	17,32	23,38	base	64
28	20,24	18,25	22,37	23,38	base	220
28	3,20	10,21	33,37	13,40	base	1
29	0,2	17,22	19,37	35,37	base	112
29	0,2	17,22	19,37	36,40	base	109
29	0,2	17,22	21,34	19,37	base	98
29	0,2	17,22	21,34	29,35	base	116
29	0,2	17,22	21,34	35,37	base	114
29	0,2	17,22	21,34	36,40	base	155
29	0,2	17,22	29,35	19,37	base	97
29	0,2	17,22	29,35	35,37	base	106
29	0,2	17,22	29,35	36,40	base	66
29	0,2	17,22	35,37	36,40	base	71
29	0,2	19,37	35,37	36,40	base	137
29	0,2	21,34	19,37	35,37	base	165
29	0,2	21,34	19,37	36,40	base	101
29	0,2	21,34	29,35	19,37	base	100
29	0,2	21,34	29,35	35,37	base	161
29	0,2	21,34	29,35	36,40	base	159
29	0,2	21,34	35,37	36,40	base	156
29	0,2	29,35	19,37	35,37	base	143
29	0,2	29,35	19,37	36,40	base	90
29	0,2	29,35	35,37	36,40	base	141
29	17,22	19,37	35,37	36,40	base	56
29	17,22	21,34	19,37	35,37	base	220
29	17,22	21,34	19,37	36,40	base	81
29	17,22	21,34	29,35	19,37	base	84
29	17,22	21,34	29,35	35,37	base	223
29	17,22	21,34	29,35	36,40	base	125
29	17,22	21,34	35,37	36,40	base	227
29	17,22	29,35	19,37	35,37	base	64
29	17,22	29,35	19,37	36,40	base	75
29	17,22	29,35	35,37	36,40	base	59
29	21,34	19,37	35,37	36,40	base	32
29	21,34	29,35	19,37	35,37	base	34
29	21,34	29,35	19,37	36,40	base	120
29	21,34	29,35	35,37	36,40	base	49
29	29,35	19,37	35,37	36,40	base	48
30	0,2	17,23	19,38	37,38	base	72
30	0,2	17,23	21,35	19,38	base	99
30	0,2	17,23	21,35	22,36	base	181
30	0,2	17,23	21,35	30,37	base	184
30	0,2	17,23	21,35	37,38	base	113
30	0,2	17,23	22,36	19,38	base	108
30	0,2	17,23	22,36	30,37	base	96
30	0,2	17,23	22,36	37,38	base	111
30	0,2	17,23	30,37	19,38	base	67
30	0,2	17,23	30,37	37,38	base	68
30	0,2	21,35	19,38	37,38	base	104
30	0,2	21,35	22,36	19,38	base	103
30	0,2	21,35	22,36	30,37	base	160
30	0,2	21,35	22,36	37,38	base	163
30	0,2	21,35	30,37	19,38	base	105
30	0,2	21,35	30,37	37,38	base	157
30	0,2	22,36	19,38	37,38	base	140
30	0,2	22,36	30,37	19,38	complement	40
30	0,2	22,36	30,37	37,38	base	142
30	0,2	30,37	19,38	37,38	base	88
30	17,23	21,35	19,38	37,38	base	226
30	17,23	21,35	22,36	19,38	base	83
30	17,23	21,35	22,36	30,37	base	228
30	17,23	21,35	22,36	37,38	base	221
30	17,23	21,35	30,37	19,38	base	82
30	17,23	21,35	30,37	37,38	base	123
30	17,23	22,36	19,38	37,38	base	54
30	17,23	22,36	30,37	19,38	base	74
30	17,23	22,36	30,37	37,38	base	58
30	17,23	30,37	19,38	37,38	base	65
30	21,35	22,36	19,38	37,38	base	37
30	21,35	22,36	30,37	19,38	base	119
30	21,35	22,36	30,37	37,38	base	35
