code	zero	orbit_size	support	triples
248828	0	2520	7	6
249055	1	2520	7	6
249067	1	5040	7	5
249071	0	2520	7	6
249079	1	5040	7	6
249082	1	2520	7	5
249083	0	5040	7	6
249199	1	10080	8	5
249214	1	5040	8	5
249215	0	5040	8	6
249247	1	10080	8	5
249259	1	10080	8	4
249262	1	10080	8	4
249263	0	10080	8	5
249271	1	10080	8	5
249274	1	10080	8	4
249275	0	10080	8	5
249277	1	10080	8	5
249278	0	10080	8	5
249310	1	5040	8	5
249311	0	5040	8	6
249322	1	10080	8	4
249323	0	10080	8	5
249325	1	10080	8	5
249326	0	10080	8	5
249334	1	5040	8	5
249335	0	5040	8	6
249337	1	10080	8	5
249338	0	10080	8	5
249340	1	10080	7	6
249341	0	10080	8	6
249514	1	2520	8	3
249515	0	2520	8	4
249517	1	10080	8	4
249518	0	10080	8	4
249532	1	5040	7	5
249533	0	5040	8	5
249580	1	5040	7	5
249581	0	5040	8	5
249592	1	5040	7	5
249593	0	5040	8	5
249596	0	10080	7	6
251263	1	1260	9	5
251311	1	10080	9	4
251326	1	5040	9	4
251327	0	5040	9	5
251359	1	5040	9	5
251371	1	5040	9	4
251374	1	10080	9	4
251375	0	10080	9	5
251389	1	5040	9	5
251390	0	5040	9	5
251563	1	1260	9	3
251566	1	5040	9	3
251567	0	5040	9	4
251581	1	2520	9	4
251582	0	2520	9	4
251629	1	5040	9	4
251630	0	5040	9	4
251644	1	5040	8	5
251645	0	5040	9	5
251900	0	1260	8	6
252319	1	5040	9	4
252331	1	5040	9	3
252334	1	5040	9	3
252335	0	5040	9	4
252343	1	5040	9	4
252346	1	5040	9	3
252347	0	5040	9	4
252349	1	5040	9	4
252350	0	5040	9	4
252382	1	5040	9	4
252383	0	5040	9	5
252394	1	10080	9	3
252395	0	10080	9	4
252397	1	10080	9	4
252398	0	10080	9	4
252406	1	5040	9	4
252407	0	5040	9	5
252409	1	10080	9	4
252410	0	10080	9	4
252412	1	10080	8	5
252413	0	10080	9	5
252586	1	2520	9	2
252587	0	2520	9	3
252589	1	10080	9	3
252590	0	10080	9	3
252604	1	5040	8	4
252605	0	5040	9	4
252652	1	5040	8	4
252653	0	5040	9	4
252664	1	5040	8	4
252665	0	5040	9	4
252668	0	10080	8	5
253405	1	1680	9	5
253406	0	1680	9	5
253417	1	5040	9	4
253418	0	5040	9	4
253420	1	5040	8	5
253421	0	5040	9	5
253429	1	1680	9	5
253430	0	1680	9	5
253432	1	5040	8	5
253433	0	5040	9	5
253436	0	5040	8	6
253609	1	2520	9	3
253610	0	2520	9	3
253612	1	10080	8	4
253613	0	10080	9	4
253628	0	5040	8	5
253676	0	5040	8	5
253688	0	5040	8	5
256681	1	420	9	2
256682	0	420	9	2
256684	1	2520	8	3
256685	0	2520	9	3
256700	0	1260	8	4
256748	0	5040	8	4
346111	1	10080	9	5
346879	1	10080	9	4
347119	1	20160	9	4
347134	1	10080	9	4
347135	0	10080	9	5
348127	1	10080	9	5
348139	1	10080	9	4
348143	0	10080	9	5
349951	1	10080	10	4
350191	1	10080	10	4
350206	1	5040	10	4
350207	0	5040	10	5
350911	1	3360	10	3
350959	1	10080	10	3
350971	1	20160	10	3
350975	0	10080	10	4
351199	1	20160	10	4
351211	1	10080	10	3
351214	1	20160	10	3
351215	0	20160	10	4
351229	1	10080	10	4
351230	0	10080	10	4
352207	1	10080	9	5
352219	1	20160	10	4
352223	0	10080	10	5
352234	1	3360	10	3
352235	0	10080	10	4
354991	1	2520	10	2
355007	0	840	10	3
355039	1	10080	10	3
355051	1	10080	10	2
355055	0	10080	10	3
355279	1	10080	9	4
355291	1	10080	10	3
355294	1	10080	10	3
355295	0	10080	10	4
355306	1	5040	10	2
355307	0	5040	10	3
355309	1	10080	10	3
355310	0	10080	10	3
355324	1	5040	9	4
355325	0	5040	10	4
356299	1	20160	9	4
356303	0	10080	9	5
356311	1	10080	10	4
356314	1	10080	10	3
356315	0	20160	10	4
356330	0	3360	10	3
360391	1	5040	9	5
360394	1	2520	9	4
360395	0	5040	9	5
360406	1	2520	10	4
360407	0	2520	10	5
360410	0	2520	10	4
362239	1	20160	9	4
362431	1	20160	9	4
362479	1	20160	9	4
362491	1	20160	9	4
362494	1	20160	9	4
362495	0	20160	9	5
363199	1	10080	9	3
363247	1	10080	9	3
363259	1	20160	9	3
363263	0	10080	9	4
363391	1	20160	9	4
363439	1	20160	9	3
363451	1	20160	9	3
363454	1	20160	9	3
363455	0	20160	9	4
363487	1	20160	9	4
363499	1	20160	9	3
363502	1	20160	9	3
363503	0	20160	9	4
363511	1	20160	9	4
363514	1	20160	9	3
363515	0	20160	9	4
363517	1	20160	9	4
363518	0	20160	9	4
