# label a b c d; native coordinates ((a sqrt3+b sqrt11)/36,(c+d sqrt33)/36)
431 6 -18 -36 0
432 -12 -18 0 -6
433 -24 -18 18 0
434 6 18 -36 0
435 -6 18 -36 0
436 -12 18 -36 6
437 3 15 -15 3
438 -12 18 0 6
439 6 18 36 0
440 6 -18 -18 -6
441 -9 -15 3 3
442 -9 -9 45 -9
443 0 -12 -6 -6
444 0 -12 -42 -6
445 -9 -3 15 -9
446 0 12 6 -6
447 27 9 -9 -9
448 0 12 42 -6
449 -9 3 -15 -9
