parent	edge_1	edge_2	edge_3	edge_4	edge_5	edge_6	target_kind	target_index
7	10,21	18,22	14,23	19,23	0,32	31,38	base	30
7	10,21	20,21	14,23	19,23	0,32	31,38	base	51
7	11,20	15,22	18,22	1,33	26,36	30,39	base	27
7	11,20	15,22	18,22	19,23	1,33	30,39	base	30
7	11,20	15,22	18,22	22,23	1,33	30,39	base	26
7	11,20	15,22	18,22	24,25	1,33	30,39	base	57
7	11,20	20,21	15,22	18,22	1,33	30,39	base	51
7	18,19	10,21	14,23	19,23	0,32	31,38	base	47
7	18,19	11,20	15,22	18,22	1,33	30,39	base	47
7	2,3	10,21	14,23	19,23	0,32	31,38	base	136
7	2,3	11,20	15,22	18,22	1,33	30,39	base	136
7	2,3	18,19	20,21	18,22	19,23	24,25	base	129
8	10,19	14,23	0,30	29,34	22,38	23,39	base	44
8	10,19	14,23	0,30	29,34	23,39	38,39	base	28
8	10,19	14,23	0,30	29,34	25,37	23,39	base	46
8	10,19	14,23	22,23	0,30	29,34	23,39	base	48
8	10,19	18,19	14,23	0,30	29,34	23,39	base	49
8	10,19	20,21	14,23	0,30	29,34	23,39	base	59
8	11,18	15,22	1,31	28,35	22,38	23,39	base	44
8	11,18	15,22	1,31	28,35	22,38	38,39	base	28
8	11,18	15,22	1,31	28,35	24,36	22,38	base	46
8	11,18	15,22	22,23	1,31	28,35	22,38	base	48
8	11,18	18,19	15,22	1,31	28,35	22,38	base	49
8	11,18	20,21	15,22	1,31	28,35	22,38	base	59
8	2,3	10,19	14,23	0,30	29,34	23,39	base	141
8	2,3	11,18	15,22	1,31	28,35	22,38	base	141
8	2,3	18,19	20,21	22,38	23,39	38,39	base	128
9	10,19	0,28	27,32	23,35	14,39	38,39	base	121
9	10,19	0,28	27,32	23,35	36,37	14,39	base	60
9	10,19	0,28	27,32	23,35	36,38	14,39	base	27
9	10,19	0,28	27,32	36,37	14,39	38,39	base	43
9	10,19	0,28	27,32	36,37	36,38	14,39	base	47
9	10,19	0,28	27,32	36,38	14,39	38,39	base	26
9	10,19	18,19	0,28	27,32	14,39	38,39	base	219
9	10,19	18,19	0,28	27,32	23,35	14,39	base	50
9	10,19	18,19	0,28	27,32	36,37	14,39	base	61
9	10,19	18,19	0,28	27,32	36,38	14,39	base	51
9	10,19	18,19	20,21	0,28	27,32	14,39	base	124
9	10,19	20,21	0,28	27,32	14,39	38,39	base	76
9	10,19	20,21	0,28	27,32	23,35	14,39	base	52
9	10,19	20,21	0,28	27,32	36,37	14,39	base	63
9	10,19	20,21	0,28	27,32	36,38	14,39	base	57
9	11,18	1,29	26,33	15,38	37,39	38,39	base	26
9	11,18	1,29	26,33	22,34	15,38	37,39	base	27
9	11,18	1,29	26,33	22,34	15,38	38,39	base	121
9	11,18	1,29	26,33	22,34	36,37	15,38	base	60
9	11,18	1,29	26,33	36,37	15,38	37,39	base	47
9	11,18	1,29	26,33	36,37	15,38	38,39	base	43
9	11,18	18,19	1,29	26,33	15,38	37,39	base	51
9	11,18	18,19	1,29	26,33	15,38	38,39	base	219
9	11,18	18,19	1,29	26,33	22,34	15,38	base	50
9	11,18	18,19	1,29	26,33	36,37	15,38	base	61
9	11,18	18,19	20,21	1,29	26,33	15,38	base	124
9	11,18	20,21	1,29	26,33	15,38	37,39	base	57
9	11,18	20,21	1,29	26,33	15,38	38,39	base	76
9	11,18	20,21	1,29	26,33	22,34	15,38	base	52
9	11,18	20,21	1,29	26,33	36,37	15,38	base	63
9	2,3	10,19	0,28	27,32	14,39	38,39	base	135
9	2,3	10,19	0,28	27,32	23,35	14,39	base	138
9	2,3	10,19	0,28	27,32	36,37	14,39	base	134
9	2,3	10,19	0,28	27,32	36,38	14,39	base	136
9	2,3	10,19	18,19	0,28	27,32	14,39	base	158
9	2,3	10,19	20,21	0,28	27,32	14,39	base	70
9	2,3	11,18	1,29	26,33	15,38	37,39	base	136
9	2,3	11,18	1,29	26,33	15,38	38,39	base	135
9	2,3	11,18	1,29	26,33	22,34	15,38	base	138
9	2,3	11,18	1,29	26,33	36,37	15,38	base	134
9	2,3	11,18	18,19	1,29	26,33	15,38	base	158
9	2,3	11,18	20,21	1,29	26,33	15,38	base	70
9	2,3	18,19	20,21	36,37	36,38	37,39	base	127
