parent	edge_1	edge_2	edge_3	edge_4	edge_5	target_kind	target_index
30	0,2	22,36	30,37	19,38	37,38	base	143
30	0,2	3,19	10,20	31,35	13,40	base	93
30	12,21	26,29	1,33	21,35	15,38	base	303
30	17,23	21,35	22,36	19,38	37,38	base	220
30	17,23	21,35	22,36	30,37	19,38	base	84
30	17,23	21,35	22,36	30,37	37,38	base	223
30	17,23	21,35	30,37	19,38	37,38	base	122
30	17,23	22,36	30,37	19,38	37,38	base	64
30	21,35	22,36	30,37	19,38	37,38	base	34
30	3,19	10,20	17,23	31,35	13,40	base	19
30	3,19	10,20	19,30	31,35	13,40	base	1
30	3,19	10,20	21,35	31,35	13,40	base	5
30	3,19	10,20	31,35	30,37	13,40	base	10
30	3,19	10,20	31,35	37,38	13,40	base	1
31	0,2	19,23	20,35	34,38	35,39	base	185
31	0,2	19,23	20,35	34,38	37,39	base	99
31	0,2	19,23	20,35	35,39	37,39	base	183
31	0,2	19,23	34,38	35,39	37,39	base	113
31	0,2	20,35	34,38	35,39	37,39	base	104
31	0,2	6,12	1,27	28,31	16,35	base	216
31	0,2	6,17	19,23	20,35	34,38	base	67
31	0,2	6,17	19,23	20,35	35,39	base	107
31	0,2	6,17	19,23	20,35	37,39	base	108
31	0,2	6,17	19,23	34,38	35,39	base	68
31	0,2	6,17	19,23	34,38	37,39	base	70
31	0,2	6,17	19,23	35,39	37,39	base	111
31	0,2	6,17	20,35	34,38	35,39	base	88
31	0,2	6,17	20,35	34,38	37,39	base	135
31	0,2	6,17	20,35	35,39	37,39	base	140
31	0,2	6,17	34,38	35,39	37,39	base	136
31	19,23	20,35	34,38	35,39	37,39	base	226
31	3,20	15,22	17,33	13,36	34,38	base	6
31	6,12	1,27	28,31	16,35	20,35	base	189
31	6,12	1,27	28,31	16,35	34,38	base	304
31	6,12	1,27	28,31	16,35	37,39	base	286
31	6,12	19,23	1,27	28,31	16,35	base	257
31	6,12	24,25	1,27	28,31	16,35	base	298
31	6,17	19,23	20,35	34,38	35,39	base	65
31	6,17	19,23	20,35	34,38	37,39	base	76
31	6,17	19,23	20,35	35,39	37,39	base	54
31	6,17	19,23	34,38	35,39	37,39	base	57
31	6,17	20,35	34,38	35,39	37,39	base	26
32	0,1	19,33	22,35	19,38	37,38	base	160
32	0,1	20,24	19,33	19,38	37,38	base	184
32	0,1	20,24	19,33	22,35	19,38	base	179
32	0,1	20,24	19,33	22,35	37,38	base	115
32	0,1	20,24	22,35	19,38	37,38	base	181
32	0,1	6,14	19,33	19,38	37,38	base	134
32	0,1	6,14	19,33	22,35	19,38	complement	40
32	0,1	6,14	19,33	22,35	37,38	base	142
32	0,1	6,14	20,24	19,33	19,38	base	67
32	0,1	6,14	20,24	19,33	22,35	base	107
32	0,1	6,14	20,24	19,33	37,38	base	68
