orbit,packings,calls1,calls2,calls3,calls4,candidates1,candidates2,candidates3,candidates4,found
278,13207,0,174,5827,13207,0,0,174,5827,0
279,12666,0,128,4539,12666,0,0,128,4539,0
280,8257,0,80,3155,8257,0,0,80,3155,0
281,11304,0,124,4217,11304,0,0,124,4217,0
282,7662,0,131,3546,7662,0,0,131,3546,0
283,4144,0,98,2475,4144,0,0,98,2475,0
284,2535,0,40,1230,2535,0,0,40,1230,0
285,13127,0,204,5928,13127,0,0,204,5928,0
286,7439,0,95,3221,7439,0,0,95,3221,0
287,2105,0,45,1353,2105,0,0,45,1353,0
288,12878,0,186,6043,12878,0,0,186,6043,0
289,4252,0,72,2130,4252,0,0,72,2130,0
290,12746,0,102,4640,12746,0,0,102,4640,0
291,1390,0,33,955,1390,0,0,33,955,0
292,4809,0,119,3158,4809,0,0,119,3158,0
293,7803,0,120,3601,7803,0,0,120,3601,0
294,15725,0,206,6605,15725,0,0,206,6605,0
295,17848,0,192,6857,17848,0,0,192,6857,0
296,4498,0,83,2330,4498,0,0,83,2330,0
297,1079,0,21,673,1079,0,0,21,673,0
298,1318,0,37,873,1318,0,0,37,873,0
299,4773,0,91,2712,4773,0,0,91,2712,0
300,3486,0,56,1885,3486,0,0,56,1885,0
301,1946,0,56,1219,1946,0,0,56,1219,0
302,1963,0,30,1062,1963,0,0,30,1062,0
303,20399,0,108,5493,20399,0,0,108,5493,0
304,7845,0,103,3191,7845,0,0,103,3191,0
305,22570,0,132,5736,22570,0,0,132,5736,0
306,3782,0,68,1987,3782,0,0,68,1987,0
307,2716,0,82,1915,2716,0,0,82,1915,0
308,11739,0,120,4339,11739,0,0,120,4339,0
309,1907,0,30,1047,1907,0,0,30,1047,0
310,8581,0,81,3172,8581,0,0,81,3172,0
311,20067,0,144,6405,20067,0,0,144,6405,0
312,9495,0,109,3642,9495,0,0,109,3642,0
313,2144,0,35,1208,2144,0,0,35,1208,0
314,19785,0,156,6063,19785,0,0,156,6063,0
315,10400,0,106,4117,10400,0,0,106,4117,0
316,15829,0,128,5419,15829,0,0,128,5419,0
317,5083,0,76,2350,5083,0,0,76,2350,0
318,339,0,16,319,339,0,0,16,319,0
319,2528,0,26,1326,2528,0,0,26,1326,0
320,26191,0,98,6481,26191,0,0,98,6481,0
321,2604,0,40,1423,2604,0,0,40,1423,0
322,15646,0,85,4096,15646,0,0,85,4096,0
323,13976,0,124,5336,13976,0,0,124,5336,0
324,1833,0,24,826,1833,0,0,24,826,0
325,403,0,7,160,403,0,0,7,160,0
326,1605,0,39,986,1605,0,0,39,986,0
327,9415,0,83,3517,9415,0,0,83,3517,0
328,20733,0,181,7633,20733,0,0,181,7633,0
329,1918,0,32,1108,1918,0,0,32,1108,0
330,5156,0,47,2077,5156,0,0,47,2077,0
331,24058,0,94,5808,24058,0,0,94,5808,0
332,3037,0,16,1208,3037,0,0,16,1208,0
333,19102,0,111,6099,19102,0,0,111,6099,0
334,2974,0,49,1654,2974,0,0,49,1654,0
335,2402,0,31,996,2402,0,0,31,996,0
336,83,0,2,74,83,0,0,2,74,0
337,8780,0,51,2458,8780,0,0,51,2458,0
338,3682,0,58,1755,3682,0,0,58,1755,0
339,9160,0,53,2717,9160,0,0,53,2717,0
340,10954,0,78,3653,10954,0,0,78,3653,0
341,8244,0,84,3226,8244,0,0,84,3226,0
342,243,0,9,215,243,0,0,9,215,0
343,955,0,17,498,955,0,0,17,498,0
344,8889,0,76,3362,8889,0,0,76,3362,0
345,1281,0,10,582,1281,0,0,10,582,0
346,21544,0,87,5026,21544,0,0,87,5026,0
347,16034,0,64,4463,16034,0,0,64,4463,0
348,7186,0,82,2952,7186,0,0,82,2952,0
349,4167,0,48,1874,4167,0,0,48,1874,0
350,1852,0,27,1010,1852,0,0,27,1010,0
351,5956,0,68,2076,5956,0,0,68,2076,0
352,15159,0,92,4822,15159,0,0,92,4822,0
353,29782,0,129,7168,29782,0,0,129,7168,0
354,3008,0,26,1187,3008,0,0,26,1187,0
355,694,0,11,335,694,0,0,11,335,0
356,6997,0,64,2474,6997,0,0,64,2474,0
357,3338,0,16,1161,3338,0,0,16,1161,0
358,3798,0,20,1135,3798,0,0,20,1135,0
359,3695,0,39,1375,3695,0,0,39,1375,0
360,2878,0,34,1143,2878,0,0,34,1143,0
361,6707,0,50,2509,6707,0,0,50,2509,0
362,796,0,6,328,796,0,0,6,328,0
363,3140,0,40,1401,3140,0,0,40,1401,0
364,2061,0,43,1146,2061,0,0,43,1146,0
365,13734,0,88,3973,13734,0,0,88,3973,0
366,8900,0,55,2770,8900,0,0,55,2770,0
367,567,0,4,273,567,0,0,4,273,0
368,3280,0,31,1270,3280,0,0,31,1270,0
369,3977,0,37,1515,3977,0,0,37,1515,0
370,14905,0,62,3737,14905,0,0,62,3737,0
371,4564,0,17,1130,4564,0,0,17,1130,0
372,6449,0,44,2382,6449,0,0,44,2382,0
373,7876,0,54,2551,7876,0,0,54,2551,0
374,3370,0,12,1093,3370,0,0,12,1093,0
375,8789,0,54,2624,8789,0,0,54,2624,0
376,4258,0,26,1371,4258,0,0,26,1371,0
377,4918,0,34,1604,4918,0,0,34,1604,0
378,18253,0,79,4259,18253,0,0,79,4259,0
379,7149,0,27,1907,7149,0,0,27,1907,0
380,5825,0,47,2136,5825,0,0,47,2136,0
381,13426,0,78,4006,13426,0,0,78,4006,0
382,4147,0,45,1555,4147,0,0,45,1555,0
383,11070,0,53,2614,11070,0,0,53,2614,0
384,6603,0,49,2030,6603,0,0,49,2030,0
385,10418,0,34,2529,10418,0,0,34,2529,0
386,2342,0,32,1073,2342,0,0,32,1073,0
387,8100,0,47,2435,8100,0,0,47,2435,0
388,2235,0,20,907,2235,0,0,20,907,0
