index,cnf_sha256,proof_sha256,proof_bytes
112,27baeef8ca014d2a6075691378fbac54f7f8594fe23be8ebf7560e4f2cd086be,c3ee1c96ffca72e39ae1245ff1958349a1d741a62dd3467eab41210895934aec,153729
113,9f438dc8370cbef99978ef66c188f5b72ab4411584cd3368888da602888f1700,879f6a36cbf107839d7ed1fc89f7a6b2c11a14790d1b2361ca539fb94263aeb3,152735
114,1f57edb1a86be2a9eb69028098806e6d1ce05ac1c244332cfa8f2521ebabdc07,c3350f0acd36746fd150facc2b51ebbdc2e34c254a504dd1dda81301f1a63654,78790
115,604827246ec6f5852d371f4ba2599c28b85341bd993f90a5688740d4955f526e,990a9ba6f87582367b9689fdf19ff351c3b7943d9575129ad6524b2247cd45f1,70483
116,5e30f30165a7b89cfa623eecea8e106097ef56dd80b93c813aa8519c71ae108d,57a18d17e31c025c5c884e9e5de6469c12ed8056149fabf46b3f047ea6b5fbf8,240417
117,f4539c782e30c1ded4c27106541755a30b79217baa20b9e12c402a9b0ef90bac,40a6f6b7523b693fbebd2e422e80a9456cd050d0a7a09e8662772d13420a4e97,109904
118,85ae0bdd7de95f6328cc359a4ac3e97a493e77263df83f948aee119c376c07b6,ec32a08dfd9d47185303a528fd82f4c45901de9f9fe82433f54d2fb5f3daf370,102726
119,5fb86eaf611a701c052bf42fa3ea7fc08a6c15dbb2540045182e7d80fbf0ae01,38997182f6bb7bec0ef310e1fa4cc6ebd92db830de280b72e88e7fe8e29551fe,185344
120,672f73ab147b3b3f7128b9a1870cd37d7e96835d6a9307b0a09e78c6f4ce206a,997ea5b9c27a7a9022291efc349f117e4260a0a739a6e47dbeeac52f26147be3,68431
121,f20fb8abcf5e65d82d9eaba5f3be0df221fde8d64ae79d6ac4fe1e6c12d36a67,059b13139feb1564b367bcdbaef77b690e7f637e3d2e9872c02e6da36f582eee,139599
122,40486bbbd758b9c5837df4bb34e7c2a66ba66c18b799c781ae74f2e9b18cb223,50eedb6ed03e1b61b725e9250c74a7004d553811800984ade636482e9312b6d9,65304
