parent	edge_1	edge_2	edge_3	target_kind	target_index
18	6,7	20,21	23,29	base	22
18	6,7	20,21	28,29	base	3
18	6,7	22,28	23,29	base	10
18	6,7	22,28	28,29	base	1
18	6,7	23,29	28,29	base	1
19	0,1	20,21	26,27	base	129
19	0,1	20,21	26,38	base	130
19	0,1	20,21	27,39	base	130
19	0,1	26,27	26,38	base	187
19	0,1	26,27	27,39	base	187
19	0,1	26,38	27,39	base	166
19	0,1	6,7	20,21	base	79
19	0,1	6,7	26,27	base	94
19	0,1	6,7	26,38	base	132
19	0,1	6,7	27,39	base	132
19	20,21	26,27	26,38	base	0
19	20,21	26,27	27,39	base	0
19	20,21	26,38	27,39	base	13
19	26,27	26,38	27,39	base	18
19	6,7	20,21	26,27	base	6
19	6,7	20,21	26,38	base	21
19	6,7	20,21	27,39	base	21
19	6,7	26,27	26,38	base	2
19	6,7	26,27	27,39	base	2
19	6,7	26,38	27,39	base	7
20	0,1	20,21	36,38	base	131
20	0,1	20,21	37,39	base	131
20	0,1	20,21	38,39	base	128
20	0,1	36,38	37,39	base	169
20	0,1	36,38	38,39	base	118
20	0,1	37,39	38,39	base	118
20	0,1	6,7	20,21	base	80
20	0,1	6,7	36,38	base	89
20	0,1	6,7	37,39	base	89
20	0,1	6,7	38,39	base	93
20	20,21	36,38	37,39	base	14
20	20,21	36,38	38,39	base	12
20	20,21	37,39	38,39	base	12
20	36,38	37,39	38,39	base	17
20	6,7	20,21	36,38	base	22
20	6,7	20,21	37,39	base	22
20	6,7	20,21	38,39	base	5
20	6,7	36,38	37,39	base	8
20	6,7	36,38	38,39	base	1
20	6,7	37,39	38,39	base	1
21	0,3	20,21	20,36	base	80
21	0,3	20,21	22,23	base	128
21	0,3	20,21	36,37	base	86
21	0,3	20,36	36,37	base	78
21	0,3	22,23	20,36	base	131
21	0,3	22,23	36,37	base	126
21	0,3	4,5	20,21	base	93
21	0,3	4,5	20,36	base	89
21	0,3	4,5	22,23	base	118
21	0,3	4,5	36,37	base	92
21	20,21	20,36	36,37	base	22
21	20,21	22,23	20,36	base	16
21	20,21	22,23	36,37	base	12
21	22,23	20,36	36,37	base	14
21	4,5	20,21	20,36	base	10
21	4,5	20,21	22,23	base	19
21	4,5	20,21	36,37	base	1
21	4,5	20,36	36,37	base	8
21	4,5	22,23	20,36	base	11
21	4,5	22,23	36,37	base	17
22	0,3	20,33	33,39	base	79
22	0,3	20,33	36,39	base	85
22	0,3	21,22	20,33	base	129
22	0,3	21,22	33,39	base	130
22	0,3	21,22	36,39	base	127
22	0,3	33,39	36,39	base	77
22	0,3	4,5	20,33	base	94
22	0,3	4,5	21,22	base	187
22	0,3	4,5	33,39	base	132
22	0,3	4,5	36,39	base	95
22	20,33	33,39	36,39	base	21
22	21,22	20,33	33,39	base	15
22	21,22	20,33	36,39	base	0
22	21,22	33,39	36,39	base	13
22	4,5	20,33	33,39	base	9
22	4,5	20,33	36,39	base	2
22	4,5	21,22	20,33	base	20
22	4,5	21,22	33,39	base	24
22	4,5	21,22	36,39	base	18
22	4,5	33,39	36,39	base	7
23	0,1	14,15	30,31	complement	148
23	0,1	14,15	32,33	complement	239
23	0,1	30,31	32,33	complement	324
23	0,1	6,15	30,31	complement	287
23	0,1	6,15	32,33	complement	230
23	0,1	6,7	14,15	complement	200
23	0,1	6,7	30,31	complement	145
23	0,1	6,7	32,33	complement	249
23	0,1	6,7	8,9	complement	208
23	0,1	7,14	30,31	complement	287
23	0,1	7,14	32,33	complement	230
23	0,1	7,14	6,15	complement	206
23	0,1	8,9	14,15	complement	199
23	0,1	8,9	30,31	complement	297
23	0,1	8,9	32,33	complement	248
23	0,1	8,9	6,15	complement	194
23	0,1	8,9	7,14	complement	194
23	14,15	30,31	32,33	complement	313
23	6,15	30,31	32,33	complement	283
23	6,7	14,15	30,31	complement	150
23	6,7	14,15	32,33	complement	238
23	6,7	30,31	32,33	complement	322
23	6,7	8,9	14,15	complement	197
23	6,7	8,9	30,31	complement	296
23	6,7	8,9	32,33	complement	246
23	7,14	30,31	32,33	complement	283
23	7,14	6,15	30,31	complement	153
23	7,14	6,15	32,33	complement	244
23	8,9	14,15	30,31	complement	301
23	8,9	14,15	32,33	complement	235
23	8,9	30,31	32,33	complement	321
23	8,9	6,15	30,31	complement	186
23	8,9	6,15	32,33	complement	232
23	8,9	7,14	30,31	complement	186
23	8,9	7,14	32,33	complement	232
23	8,9	7,14	6,15	complement	205
24	0,1	15,25	15,28	base	168
24	0,1	15,25	28,39	base	118
24	0,1	15,28	28,39	base	169
24	0,1	21,22	15,25	base	128
24	0,1	21,22	15,28	base	131
24	0,1	21,22	28,39	base	126
24	0,1	4,7	15,25	base	93
24	0,1	4,7	15,28	base	89
24	0,1	4,7	21,22	base	86
24	0,1	4,7	28,39	base	92
24	15,25	15,28	28,39	base	11
24	21,22	15,25	15,28	base	16
24	21,22	15,25	28,39	base	12
24	21,22	15,28	28,39	base	14
24	4,7	15,25	15,28	base	10
24	4,7	15,25	28,39	base	1
24	4,7	15,28	28,39	base	8
24	4,7	21,22	15,25	base	5
24	4,7	21,22	15,28	base	22
24	4,7	21,22	28,39	base	3
25	0,2	17,29	17,37	complement	40
25	0,2	17,29	21,34	base	164
25	0,2	17,29	35,37	base	142
25	0,2	17,29	36,40	base	88
25	0,2	17,37	35,37	base	138
25	0,2	17,37	36,40	base	135
25	0,2	18,22	17,29	base	107
25	0,2	18,22	17,37	base	108
25	0,2	18,22	21,34	base	183
25	0,2	18,22	35,37	base	111
25	0,2	18,22	36,40	base	72
25	0,2	21,34	17,37	base	103
25	0,2	21,34	35,37	base	163
25	0,2	21,34	36,40	base	104
25	0,2	35,37	36,40	base	136
25	17,29	17,37	35,37	base	60
25	17,29	17,37	36,40	base	43
25	17,29	21,34	17,37	base	119
25	17,29	21,34	35,37	base	35
25	17,29	21,34	36,40	base	36
25	17,29	35,37	36,40	base	47
25	17,37	35,37	36,40	base	30
25	18,22	17,29	17,37	base	74
25	18,22	17,29	21,34	base	222
25	18,22	17,29	35,37	base	58
25	18,22	17,29	36,40	base	65
25	18,22	17,37	35,37	base	52
25	18,22	17,37	36,40	base	76
25	18,22	21,34	17,37	base	83
25	18,22	21,34	35,37	base	221
25	18,22	21,34	36,40	base	226
25	18,22	35,37	36,40	base	57
25	21,34	17,37	35,37	base	50
25	21,34	17,37	36,40	base	219
25	21,34	35,37	36,40	base	51
26	0,2	17,30	17,38	base	90
26	0,2	17,30	21,35	base	102
26	0,2	17,30	22,36	base	143
26	0,2	17,30	37,38	base	141
26	0,2	17,38	37,38	base	87
26	0,2	18,23	17,30	base	69
26	0,2	18,23	17,38	base	109
26	0,2	18,23	21,35	base	182
26	0,2	18,23	22,36	base	112
26	0,2	18,23	37,38	base	71
26	0,2	21,35	17,38	base	101
26	0,2	21,35	22,36	base	165
26	0,2	21,35	37,38	base	156
26	0,2	22,36	17,38	base	91
26	0,2	22,36	37,38	base	139
26	17,30	17,38	37,38	base	44
26	17,30	21,35	17,38	base	120
26	17,30	21,35	22,36	base	34
26	17,30	21,35	37,38	base	49
26	17,30	22,36	17,38	base	42
26	17,30	22,36	37,38	base	46
26	18,23	17,30	17,38	base	75
26	18,23	17,30	21,35	base	122
26	18,23	17,30	22,36	base	64
26	18,23	17,30	37,38	base	59
26	18,23	17,38	37,38	base	53
26	18,23	21,35	17,38	base	81
26	18,23	21,35	22,36	base	220
26	18,23	21,35	37,38	base	227
26	18,23	22,36	17,38	base	73
26	18,23	22,36	37,38	base	55
26	21,35	17,38	37,38	base	33
26	21,35	22,36	17,38	base	218
26	21,35	22,36	37,38	base	38
26	22,36	17,38	37,38	base	29
27	0,2	17,23	17,31	base	133
27	0,2	17,23	18,24	base	110
27	0,2	17,23	20,23	base	91
27	0,2	17,23	22,36	base	162
27	0,2	17,23	37,40	base	87
27	0,2	17,31	22,36	base	161
27	0,2	17,31	37,40	base	141
27	0,2	18,24	17,31	base	106
27	0,2	18,24	22,36	base	114
27	0,2	18,24	37,40	base	71
27	0,2	20,23	17,31	base	143
27	0,2	20,23	18,24	base	112
27	0,2	20,23	22,36	base	165
27	0,2	20,23	37,40	base	137
27	0,2	22,36	37,40	base	156
27	17,23	17,31	22,36	base	31
27	17,23	17,31	37,40	base	44
27	17,23	18,24	17,31	base	62
27	17,23	18,24	22,36	base	224
27	17,23	18,24	37,40	base	53
27	17,23	20,23	17,31	base	42
27	17,23	20,23	18,24	base	73
27	17,23	20,23	22,36	base	218
27	17,23	20,23	37,40	base	217
27	17,23	22,36	37,40	base	33
27	17,31	22,36	37,40	base	49
27	18,24	17,31	22,36	base	223
27	18,24	17,31	37,40	base	59
27	18,24	22,36	37,40	base	227
27	20,23	17,31	22,36	base	34
27	20,23	17,31	37,40	base	48
27	20,23	18,24	17,31	base	64
27	20,23	18,24	22,36	base	220
27	20,23	18,24	37,40	base	56
27	20,23	22,36	37,40	base	32
28	0,2	17,24	17,32	base	134
28	0,2	17,24	18,25	base	70
28	0,2	17,24	20,24	base	135
28	0,2	17,24	22,37	base	158
28	0,2	17,24	23,38	base	138
28	0,2	17,32	22,37	base	157
28	0,2	17,32	23,38	base	142
28	0,2	18,25	17,32	base	68
28	0,2	18,25	22,37	base	113
28	0,2	18,25	23,38	base	111
28	0,2	20,24	17,32	base	88
28	0,2	20,24	18,25	base	72
28	0,2	20,24	22,37	base	104
28	0,2	20,24	23,38	base	140
28	0,2	22,37	23,38	base	163
28	17,24	17,32	22,37	base	61
28	17,24	17,32	23,38	base	60
28	17,24	18,25	17,32	base	63
28	17,24	18,25	22,37	base	124
28	17,24	18,25	23,38	base	52
28	17,24	20,24	17,32	base	43
28	17,24	20,24	18,25	base	76
28	17,24	20,24	22,37	base	219
28	17,24	20,24	23,38	base	121
28	17,24	22,37	23,38	base	50
28	17,32	22,37	23,38	base	35
28	18,25	17,32	22,37	base	123
28	18,25	17,32	23,38	base	58
28	18,25	22,37	23,38	base	221
28	20,24	17,32	22,37	base	36
28	20,24	17,32	23,38	base	45
28	20,24	18,25	17,32	base	65
28	20,24	18,25	22,37	base	226
28	20,24	18,25	23,38	base	54
28	20,24	22,37	23,38	base	37
29	0,2	17,22	19,37	base	108
29	0,2	17,22	21,34	base	181
29	0,2	17,22	29,35	base	96
29	0,2	17,22	35,37	base	111
29	0,2	17,22	36,40	base	70
29	0,2	19,37	35,37	base	140
29	0,2	19,37	36,40	base	135
29	0,2	21,34	19,37	base	103
29	0,2	21,34	29,35	base	160
29	0,2	21,34	35,37	base	163
29	0,2	21,34	36,40	base	158
29	0,2	29,35	19,37	complement	40
29	0,2	29,35	35,37	base	142
29	0,2	29,35	36,40	base	134
29	0,2	35,37	36,40	base	136
29	17,22	19,37	35,37	base	54
29	17,22	19,37	36,40	base	76
29	17,22	21,34	19,37	base	83
29	17,22	21,34	29,35	base	228
29	17,22	21,34	35,37	base	221
29	17,22	21,34	36,40	base	124
29	17,22	29,35	19,37	base	74
29	17,22	29,35	35,37	base	58
29	17,22	29,35	36,40	base	63
29	17,22	35,37	36,40	base	57
29	19,37	35,37	36,40	base	26
29	21,34	19,37	35,37	base	37
29	21,34	19,37	36,40	base	219
29	21,34	29,35	19,37	base	119
29	21,34	29,35	35,37	base	35
29	21,34	29,35	36,40	base	61
29	21,34	35,37	36,40	base	51
29	29,35	19,37	35,37	base	45
29	29,35	19,37	36,40	base	43
29	29,35	35,37	36,40	base	47
30	0,2	17,23	19,38	base	109
30	0,2	17,23	21,35	base	155
30	0,2	17,23	22,36	base	110
30	0,2	17,23	30,37	base	66
30	0,2	17,23	37,38	base	71
30	0,2	19,38	37,38	base	137
30	0,2	21,35	19,38	base	101
30	0,2	21,35	22,36	base	162
30	0,2	21,35	30,37	base	159
30	0,2	21,35	37,38	base	156
30	0,2	22,36	19,38	base	91
30	0,2	22,36	30,37	base	133
30	0,2	22,36	37,38	base	139
30	0,2	30,37	19,38	base	90
30	0,2	30,37	37,38	base	141
30	17,23	19,38	37,38	base	56
30	17,23	21,35	19,38	base	81
30	17,23	21,35	22,36	base	224
30	17,23	21,35	30,37	base	125
30	17,23	21,35	37,38	base	227
30	17,23	22,36	19,38	base	73
30	17,23	22,36	30,37	base	62
30	17,23	22,36	37,38	base	55
30	17,23	30,37	19,38	base	75
30	17,23	30,37	37,38	base	59
30	21,35	19,38	37,38	base	32
30	21,35	22,36	19,38	base	218
30	21,35	22,36	30,37	base	31
30	21,35	22,36	37,38	base	38
30	21,35	30,37	19,38	base	120
30	21,35	30,37	37,38	base	49
30	22,36	19,38	37,38	base	25
30	22,36	30,37	19,38	base	42
30	22,36	30,37	37,38	base	46
30	30,37	19,38	37,38	base	48
31	0,2	19,23	20,35	base	179
31	0,2	19,23	34,38	base	184
31	0,2	19,23	35,39	base	115
31	0,2	19,23	37,39	base	181
31	0,2	20,35	34,38	base	105
31	0,2	20,35	35,39	base	164
31	0,2	20,35	37,39	base	103
31	0,2	34,38	35,39	base	157
31	0,2	34,38	37,39	base	158
31	0,2	35,39	37,39	base	163
31	0,2	6,17	19,23	base	96
31	0,2	6,17	20,35	complement	40
31	0,2	6,17	34,38	base	134
31	0,2	6,17	35,39	base	142
31	0,2	6,17	37,39	base	138
31	19,23	20,35	34,38	base	82
31	19,23	20,35	35,39	base	222
31	19,23	20,35	37,39	base	83
31	19,23	34,38	35,39	base	123
31	19,23	34,38	37,39	base	124
31	19,23	35,39	37,39	base	221
31	20,35	34,38	35,39	base	36
31	20,35	34,38	37,39	base	219
31	20,35	35,39	37,39	base	37
31	34,38	35,39	37,39	base	51
31	6,17	19,23	20,35	base	74
31	6,17	19,23	34,38	base	63
31	6,17	19,23	35,39	base	58
31	6,17	19,23	37,39	base	52
31	6,17	20,35	34,38	base	43
31	6,17	20,35	35,39	base	45
31	6,17	20,35	37,39	base	121
31	6,17	34,38	35,39	base	47
31	6,17	34,38	37,39	base	30
31	6,17	35,39	37,39	base	27
32	0,1	19,33	19,38	base	105
32	0,1	19,33	22,35	base	164
32	0,1	19,33	37,38	base	157
32	0,1	19,38	37,38	base	158
32	0,1	20,24	19,33	base	185
32	0,1	20,24	19,38	base	99
32	0,1	20,24	22,35	base	183
32	0,1	20,24	37,38	base	113
