orbit,packings,calls1,calls2,calls3,calls4,candidates1,candidates2,candidates3,candidates4,found
1323,17,0,0,0,17,0,0,0,0,0
1324,9,0,0,0,9,0,0,0,0,0
1325,33,0,0,1,33,0,0,0,1,0
1326,16,0,0,0,16,0,0,0,0,0
1327,21,0,0,0,21,0,0,0,0,0
1328,37,0,0,0,37,0,0,0,0,0
1329,35,0,0,0,35,0,0,0,0,0
1330,3,0,0,0,3,0,0,0,0,0
1331,26,0,0,1,26,0,0,0,1,0
1332,39,0,0,0,39,0,0,0,0,0
1333,8,0,0,0,8,0,0,0,0,0
1334,13,0,0,0,13,0,0,0,0,0
1335,10,0,0,0,10,0,0,0,0,0
1336,69,0,0,1,69,0,0,0,1,0
1337,24,0,0,1,24,0,0,0,1,0
1338,54,0,0,0,54,0,0,0,0,0
1339,11,0,0,0,11,0,0,0,0,0
1340,10,0,0,0,10,0,0,0,0,0
1341,4,0,0,1,4,0,0,0,1,0
1342,22,0,0,1,22,0,0,0,1,0
1343,6,0,0,0,6,0,0,0,0,0
1344,19,0,0,0,19,0,0,0,0,0
1345,4,0,0,0,4,0,0,0,0,0
1346,29,0,0,1,29,0,0,0,1,0
1347,11,0,0,0,11,0,0,0,0,0
1348,5,0,0,0,5,0,0,0,0,0
1349,25,0,0,2,25,0,0,0,2,0
1350,4,0,0,0,4,0,0,0,0,0
1351,18,0,0,0,18,0,0,0,0,0
1352,9,0,0,0,9,0,0,0,0,0
1353,16,0,0,1,16,0,0,0,1,0
1354,19,0,0,0,19,0,0,0,0,0
1355,14,0,0,0,14,0,0,0,0,0
1356,1,0,0,0,1,0,0,0,0,0
1357,5,0,0,0,5,0,0,0,0,0
1358,3,0,0,0,3,0,0,0,0,0
1359,9,0,0,1,9,0,0,0,1,0
1360,3,0,0,0,3,0,0,0,0,0
1361,20,0,0,0,20,0,0,0,0,0
1362,6,0,0,0,6,0,0,0,0,0
1363,8,0,0,0,8,0,0,0,0,0
1364,4,0,0,0,4,0,0,0,0,0
1365,13,0,0,0,13,0,0,0,0,0
1366,15,0,0,0,15,0,0,0,0,0
1367,18,0,0,1,18,0,0,0,1,0
1368,8,0,0,1,8,0,0,0,1,0
1369,9,0,0,1,9,0,0,0,1,0
1370,4,0,0,0,4,0,0,0,0,0
1371,16,0,0,1,16,0,0,0,1,0
1372,19,0,0,0,19,0,0,0,0,0
1373,6,0,0,0,6,0,0,0,0,0
1374,13,0,0,0,13,0,0,0,0,0
1375,16,0,0,0,16,0,0,0,0,0
1376,14,0,0,0,14,0,0,0,0,0
1377,6,0,0,0,6,0,0,0,0,0
1378,4,0,0,0,4,0,0,0,0,0
1379,2,0,0,0,2,0,0,0,0,0
1380,8,0,0,0,8,0,0,0,0,0
1381,5,0,0,0,5,0,0,0,0,0
1382,0,0,0,0,0,0,0,0,0,0
1383,4,0,0,0,4,0,0,0,0,0
1384,4,0,0,0,4,0,0,0,0,0
1385,9,0,0,0,9,0,0,0,0,0
1386,5,0,0,0,5,0,0,0,0,0
1387,0,0,0,0,0,0,0,0,0,0
1388,0,0,0,0,0,0,0,0,0,0
1389,2,0,0,0,2,0,0,0,0,0
1390,5,0,0,0,5,0,0,0,0,0
1391,0,0,0,0,0,0,0,0,0,0
1392,4,0,0,0,4,0,0,0,0,0
1393,5,0,0,0,5,0,0,0,0,0
1394,3,0,0,0,3,0,0,0,0,0
1395,4,0,0,0,4,0,0,0,0,0
1396,3,0,0,0,3,0,0,0,0,0
1397,8,0,0,0,8,0,0,0,0,0
1398,2,0,0,1,2,0,0,0,1,0
1399,5,0,0,0,5,0,0,0,0,0
1400,2,0,0,0,2,0,0,0,0,0
1401,2,0,0,0,2,0,0,0,0,0
1402,1,0,0,0,1,0,0,0,0,0
1403,2,0,0,0,2,0,0,0,0,0
1404,6,0,0,0,6,0,0,0,0,0
1405,1,0,0,0,1,0,0,0,0,0
1406,0,0,0,0,0,0,0,0,0,0
1407,0,0,0,0,0,0,0,0,0,0
