orbit,packings,unsat,unknown,sat,calls,queries,options,leaves,max_calls,parent_rows
1570,302,302,0,0,264657,264653,264355,4,2645,2190480
1571,154,154,0,0,162965,162964,162811,1,2366,1968539
1572,463,463,0,0,435064,435063,434601,1,3411,2289110
1573,343,343,0,0,413578,413572,413235,6,3806,2180495
1574,195,195,0,0,179759,179759,179564,0,2463,2164145
1575,225,225,0,0,191910,191909,191685,1,2877,2037818
1576,213,213,0,0,305682,305679,305469,3,3069,2080742
1577,298,298,0,0,336597,336592,336299,5,3558,2134528
1578,463,463,0,0,470762,470758,470299,4,3086,2406464
1579,413,413,0,0,325575,325574,325162,1,2777,2360963
1580,345,345,0,0,291387,291386,291042,1,2382,2296523
1581,403,403,0,0,401388,401387,400985,1,3476,2263107
1582,291,291,0,0,346479,346474,346188,5,3830,2231363
1583,357,357,0,0,414214,414214,413857,0,3274,2238478
1584,83,83,0,0,135012,135012,134929,0,3479,1725849
1585,271,271,0,0,274882,274880,274611,2,3790,2064232
1586,184,184,0,0,245793,245792,245609,1,5475,1922306
1587,598,598,0,0,575643,575640,575045,3,3264,2449298
1588,320,320,0,0,360174,360173,359854,1,3720,2096552
1589,321,321,0,0,399183,399180,398862,3,4428,2143829
1590,486,486,0,0,481625,481623,481139,2,3109,2296266
1591,175,175,0,0,205438,205436,205263,2,2715,2043723
1592,129,129,0,0,149882,149880,149753,2,2844,1832885
1593,145,145,0,0,218584,218581,218439,3,3961,1898342
1594,129,129,0,0,128545,128545,128416,0,2275,1881789
1595,149,149,0,0,193536,193535,193387,1,2782,1989915
1596,355,355,0,0,405557,405557,405202,0,3765,2193383
1597,180,180,0,0,261757,261751,261577,6,4632,1854165
1598,296,296,0,0,293198,293198,292902,0,2933,2201267
1599,177,177,0,0,154610,154609,154433,1,2460,2059417
1600,156,156,0,0,207017,207014,206861,3,3453,1924564
1601,327,327,0,0,400597,400594,400270,3,3654,2188353
1602,484,484,0,0,445235,445232,444751,3,2590,2390242
1603,210,210,0,0,231346,231343,231136,3,2681,2230456
1604,162,162,0,0,202180,202180,202018,0,2685,2005644
1605,153,153,0,0,141089,141087,140936,2,2377,1861695
1606,692,692,0,0,661430,661426,660738,4,3706,2612339
1607,353,353,0,0,340274,340273,339921,1,2724,2262437
1608,412,412,0,0,323460,323455,323048,5,2578,2383936
1609,304,304,0,0,340849,340848,340545,1,3368,2106302
1610,170,170,0,0,189281,189277,189111,4,3172,1897512
1611,210,210,0,0,153583,153583,153373,0,2179,2116583
1612,550,550,0,0,589174,589171,588624,3,3905,2475427
1613,178,178,0,0,197437,197434,197259,3,3092,1895388
1614,447,447,0,0,400005,400005,399558,0,2887,2343298
1615,438,438,0,0,335129,335128,334691,1,3388,2254181
1616,245,245,0,0,265885,265885,265640,0,3760,2082370
1617,515,515,0,0,499201,499198,498686,3,3285,2462166
1618,256,256,0,0,242878,242877,242622,1,2845,2098025
1619,257,257,0,0,250916,250915,250659,1,2956,1959013
1620,534,534,0,0,506445,506442,505911,3,3512,2348844
1621,130,130,0,0,152612,152610,152482,2,2869,1938909
1622,317,317,0,0,260960,260960,260643,0,2435,2261620
1623,255,255,0,0,306173,306169,305918,4,3601,1963177
1624,631,631,0,0,563274,563271,562643,3,3152,2491576
1625,323,323,0,0,346313,346312,345990,1,2797,2133713
1626,142,142,0,0,166640,166640,166498,0,2420,1913100
1627,607,607,0,0,587784,587780,587177,4,3308,2468329
1628,251,251,0,0,202501,202501,202250,0,2393,2055565
1629,207,207,0,0,175837,175837,175630,0,2316,1974983
1630,131,131,0,0,120816,120814,120685,2,2129,1919607
1631,145,145,0,0,137594,137594,137449,0,2663,2110073
1632,195,195,0,0,266173,266171,265978,2,5195,1923122
1633,347,347,0,0,261296,261293,260949,3,2318,2366003
1634,239,239,0,0,326878,326877,326639,1,3333,2037927
1635,281,281,0,0,268207,268204,267926,3,3193,2115271
1636,288,288,0,0,344587,344583,344299,4,3897,2125767
1637,180,180,0,0,214988,214987,214808,1,2854,1923067
1638,206,206,0,0,271439,271435,271233,4,3844,2009928
1639,224,224,0,0,231590,231590,231366,0,2643,2235555
1640,125,125,0,0,115331,115331,115206,0,2259,1850732
1641,489,489,0,0,391875,391874,391386,1,2682,2390032
1642,156,156,0,0,150027,150025,149871,2,2192,1950890
1643,251,251,0,0,257367,257365,257116,2,2941,2104067
1644,404,404,0,0,365946,365946,365542,0,2693,2340401
1645,82,82,0,0,109869,109868,109787,1,2694,1773344
1646,125,125,0,0,154470,154470,154345,0,2929,1769179
1647,168,168,0,0,194247,194245,194079,2,2955,1882997
1648,175,175,0,0,164288,164287,164113,1,2367,2101085
1649,575,575,0,0,523110,523109,522535,1,2911,2421779
1650,435,435,0,0,336947,336947,336512,0,3214,2351431
1651,565,565,0,0,566060,566060,565495,0,3455,2453783
1652,666,666,0,0,634239,634238,633573,1,4282,2620699
1653,404,404,0,0,299609,299609,299205,0,2251,2288808
1654,293,293,0,0,321120,321118,320827,2,3418,2083081
1655,203,203,0,0,262131,262124,261928,7,3423,1931154
1656,57,57,0,0,89201,89201,89144,0,2949,1587666
1657,296,296,0,0,266592,266590,266296,2,2807,2190585
1658,263,263,0,0,312134,312133,311871,1,3265,2146814
1659,90,90,0,0,78807,78807,78717,0,2234,1892340
1660,183,183,0,0,217412,217411,217229,1,3057,2095196
1661,283,283,0,0,325953,325949,325670,4,3515,2188910
1662,87,87,0,0,88816,88815,88729,1,2082,1866295
1663,195,195,0,0,232423,232422,232228,1,3239,2001239
1664,270,270,0,0,312288,312285,312018,3,4434,2059016
1665,609,609,0,0,520988,520986,520379,2,2883,2429764
1666,219,219,0,0,177353,177352,177134,1,2184,2186928
1667,260,260,0,0,250065,250065,249805,0,3316,2012947
1668,330,330,0,0,305009,305008,304679,1,3393,2183467
1669,280,280,0,0,298867,298866,298587,1,3264,2103449
1670,285,285,0,0,227011,227010,226726,1,2306,2159605
1671,382,382,0,0,375035,375033,374653,2,3905,2255939
1672,423,423,0,0,384135,384133,383712,2,2849,2384149
1673,411,411,0,0,264533,264532,264122,1,2294,2369152
1674,240,240,0,0,215444,215443,215204,1,3567,1974219
1675,283,283,0,0,290782,290782,290499,0,2970,2146974
1676,113,113,0,0,134009,134007,133896,2,2896,1776595
1677,74,74,0,0,71684,71684,71610,0,1980,1762880
1678,278,278,0,0,262827,262826,262549,1,2982,2113961
1679,466,466,0,0,386846,386844,386380,2,3145,2404269
1680,128,128,0,0,149708,149707,149580,1,2638,1896073
1681,711,711,0,0,575645,575643,574934,2,2622,2662916
1682,270,270,0,0,237332,237332,237062,0,2596,2128706
1683,255,255,0,0,275310,275306,275055,4,2954,2083546
1684,177,177,0,0,204359,204358,204182,1,2721,2125427
1685,362,362,0,0,323361,323359,322999,2,3083,2325584
1686,258,258,0,0,257609,257609,257351,0,2494,2111129
1687,288,288,0,0,412710,412707,412422,3,4401,2138770
1688,207,207,0,0,259461,259459,259254,2,4028,2027081
1689,393,393,0,0,261530,261528,261137,2,1992,2268161
