G8_CORNERS degree=5 profile_size=17
TARGET 55000550 profile=25,1900,3097,7004,9008,11036,12164,12550,18604,23195,23795,29154,29401,30121,33192,36369,38221
TARGET 55000555 profile=907,1843,2882,5983,6923,7500,7503,12274,22770,26081,29737,32356,33201,34562,34586,35058,38221
TARGET 55005000 profile=940,7023,8818,9008,11075,12284,12841,19027,19962,20058,25098,25207,30722,33202,35596,39072,40176
TARGET 55005005 profile=2883,7023,7514,8826,12571,12841,18347,19194,19669,24380,25206,29715,30247,30419,32051,35761,38899
TARGET 55005050 profile=1843,7010,8646,8808,9000,9072,12229,12546,12550,19266,24491,24550,24552,26099,29530,39696,39703
TARGET 55005055 profile=2882,2886,7024,7688,8817,11987,12164,19155,20520,23020,30417,32130,32139,34474,35326,35337,35762
TARGET 55005500 profile=1812,6004,6046,11872,12591,20016,20562,24555,26439,26801,30246,33155,33183,35320,35325,36676,39481
TARGET 55005505 profile=272,949,6045,7500,9008,11673,14568,18544,19180,20509,26079,30419,32356,33816,34657,35761,35779
TARGET 55005550 profile=25,180,5996,7232,8808,11830,14564,19180,20578,22786,23010,27241,29754,30127,30722,32139,35779
TARGET 55005555 profile=907,2882,2883,6033,7503,12578,19170,19627,24555,26440,29407,30966,32049,32136,33183,35761,36424
TARGET 55050000 profile=29,1327,2116,6047,7527,11086,19077,19338,23041,23823,26985,29154,30721,36600,38221,38236,38778
TARGET 55050005 profile=1327,7688,7692,8868,12201,14760,19072,19302,19900,20532,22900,25203,26097,32051,34656,35339,38906
TARGET 55050050 profile=19,994,1900,7043,7514,7680,12595,18203,20043,23832,27276,27280,29530,32104,35287,38778,38780
TARGET 55050055 profile=26,2886,6807,11079,18594,19269,20450,20467,27280,29522,30405,30721,32029,32356,35287,36427,36460
TARGET 55050500 profile=936,1882,8868,12190,12592,19516,20509,23832,26099,26472,26805,30720,32352,35286,35715,36424,36459
TARGET 55050505 profile=948,2886,7004,7531,14406,14568,14768,19873,22755,22900,24378,26081,26436,28834,30277,34562,38682
TARGET 55050550 profile=745,1900,6923,7688,11985,12187,12550,14772,19659,20532,23736,25204,29401,30722,32355,36369,36427
TARGET 55050555 profile=8804,12544,14586,18546,18549,19338,20192,20450,20528,20544,23832,29679,29730,29737,30402,35280,35287
TARGET 55055000 profile=278,2881,8826,12592,12841,12852,14628,19338,19516,20136,20467,23795,23838,26075,33962,36310,36474
TARGET 55055005 profile=26,27,5920,11081,12574,18201,19964,20058,23823,23841,24964,26352,32352,33202,35760,35770,36371
TARGET 55055050 profile=486,5919,7238,7692,11985,12595,12696,12841,17980,18799,19962,20467,23736,27286,30722,35339,39696
TARGET 55055055 profile=2,3,7531,9012,11985,12571,18344,20192,22890,25098,26097,29736,30763,32049,32130,35339,35596
TARGET 55055500 profile=1812,5068,7500,7632,11987,12852,14406,22900,23020,24489,25207,26075,32029,32051,36459,39486,39696
TARGET 55055505 profile=1004,1812,2886,3000,8794,12201,14370,20509,22770,22900,24489,26073,29136,30247,32316,36424,36460
TARGET 55055550 profile=1801,2886,7041,7552,7692,8640,11875,12550,20314,20463,24555,27279,29746,30121,32029,35313,39602
TARGET 55055555 profile=24,906,1812,5921,7232,11080,12544,17860,20467,20528,24378,26985,29130,29737,30121,32282,36661
