G8_CORNERS degree=4 profile_size=14
TARGET 00444440 profile=5915,6784,6995,11829,12154,20509,24545,24964,25324,25416,30127,30362,33183,34176
TARGET 00444444 profile=722,1608,6783,7504,8644,14568,17731,19965,23841,27096,29544,31990,33610,39480
TARGET 04000000 profile=486,7189,7527,12190,12239,12598,25207,25363,26436,30458,35136,36675,38221,38890
TARGET 04000004 profile=196,278,6003,11013,12118,23002,23020,25274,27286,28834,32355,34441,36352,38640
TARGET 04000040 profile=1900,7514,11075,17272,19269,20136,23041,26446,27252,33600,33609,35284,35378,36456
TARGET 04000044 profile=486,2012,6039,7688,11986,12229,19296,23040,25206,29154,32355,36352,36690,38643
TARGET 04000400 profile=5997,7503,14628,19965,20016,20136,20164,20463,25274,25325,30424,32355,36450,38640
TARGET 04000404 profile=24,2954,5973,6693,12848,19411,19962,20026,23040,28843,29154,32051,35339,36450
TARGET 04000440 profile=5996,7500,11987,12550,20130,20462,24249,25237,27286,29743,30246,35378,38169,38881
TARGET 04000444 profile=1882,6035,6881,12165,20450,22918,23232,25237,28843,29521,32104,34562,36672,38232
TARGET 04004000 profile=29,940,6995,12232,17995,18206,22786,24491,25207,25274,27286,32316,33738,40201
TARGET 04004004 profile=26,1843,5963,9072,10244,14565,22914,23034,25274,26241,32136,35167,35202,38221
TARGET 04004040 profile=192,12598,12841,14628,18642,19673,20130,20562,22890,26106,26472,29539,30240,33866
TARGET 04004044 profile=7041,8646,9000,12165,17952,18576,20487,23640,26241,32139,33883,34082,35287,38640
TARGET 04004400 profile=13,7245,12161,12592,14628,19155,19962,23586,23643,25274,26099,30247,35596,40176
TARGET 04004404 profile=1564,8647,8819,12574,18490,19194,20509,23040,26079,27241,29130,34562,36369,39114
TARGET 04004440 profile=487,5915,6001,12165,18544,20562,22786,22914,25205,28826,30121,32130,35597,36675
TARGET 04004444 profile=1812,2928,5963,6033,14565,18576,19965,20458,23529,23667,29130,33606,34562,35378
TARGET 04040000 profile=19,5987,5997,12848,20198,22770,23038,25362,26292,30562,32370,36430,39097,39697
TARGET 04040004 profile=484,6041,10308,12112,14874,19418,19624,20198,20450,24456,26402,27276,34441,36427
TARGET 04040040 profile=19,205,1900,6419,9008,11984,12155,12550,22890,23048,23682,34177,38778,40207
TARGET 04040044 profile=1962,5973,6040,8808,18345,19296,22890,23052,24240,27242,29730,33883,35432,38171
TARGET 04040400 profile=18,487,12912,14577,18203,20130,23010,23529,26099,28825,30401,35339,36371,39040
TARGET 04040404 profile=27,944,7503,11079,14568,19416,23529,25237,28560,32029,35161,36304,38220,39106
TARGET 04040440 profile=1,5987,7680,20016,22794,23041,26446,26985,29546,31737,32352,32890,36369,38643
TARGET 04040444 profile=272,2003,5987,8804,12284,14577,17730,22771,23046,26446,29730,33874,34441,35286
TARGET 04044000 profile=204,481,5069,6046,7524,12912,18546,19965,20324,23034,25176,27280,34448,38856
TARGET 04044004 profile=3,2886,7238,12588,16355,17875,19914,23002,26100,32282,33883,34170,36672,38880
TARGET 04044040 profile=906,6035,6395,9008,12841,18645,19025,23034,24249,25098,25274,25327,34440,35339
TARGET 04044044 profile=27,1478,6038,7232,11848,12696,20138,22914,26401,27096,29754,31984,34657,36459
