G8_CORNERS degree=6 profile_size=20
TARGET 60066066 profile=874,2002,7531,7531,10959,10959,10959,14578,18576,20528,23793,23823,24541,25327,33201,34170,34177,35779,35784,36636
TARGET 60066600 profile=6832,6832,6832,8795,12591,12840,14406,14772,20458,20509,22755,24541,26985,30400,30746,30746,30746,32316,35784,39697
TARGET 60066606 profile=723,2952,5920,7232,12284,14586,19027,20018,20192,20324,22768,23618,25002,26817,26817,30402,34663,34663,35596,36424
TARGET 60066660 profile=994,2883,2952,6790,6790,6790,11985,12154,12274,12840,14586,20487,22768,24555,30127,30746,30746,32139,36427,39487
TARGET 60066666 profile=24,3000,3007,7531,7531,11829,18203,18802,20463,22771,23586,26439,27096,30400,32140,33183,35400,35400,36450,36636
TARGET 60600000 profile=1324,2116,7688,11036,11036,11036,12164,12180,19264,20117,20528,25002,25178,25206,30126,30745,33155,34186,35315,35596
TARGET 60600006 profile=1842,6794,8641,8804,14569,14761,17875,19397,19669,22891,25323,25323,25323,26079,32139,32280,33155,35770,38780,39106
TARGET 60600060 profile=1900,3004,3004,3004,7752,8868,9000,9008,12549,12841,14404,17850,19269,20117,20117,20117,27275,29538,32130,39624
TARGET 60600066 profile=722,1843,1900,2887,2917,7024,7024,8868,14404,14554,19269,19270,23232,23793,26985,31984,35060,35060,35060,35400
TARGET 60600600 profile=738,936,1882,2116,6790,6794,8826,11868,12183,12840,18347,20018,26087,26472,32280,33198,35060,35770,40100,40100
TARGET 60600606 profile=181,724,1843,8868,17731,19027,20324,20509,22914,26801,26801,26801,26801,30405,30456,32280,33740,35778,36369,36450
TARGET 60600660 profile=1813,1843,3096,11036,11036,11036,11987,17746,18549,20467,20554,23586,25056,26435,29530,30360,30360,34586,38169,40100
TARGET 60600666 profile=907,936,1900,6783,6921,7010,12109,18203,18549,20544,20544,20544,23643,27286,29737,32029,34584,34584,34584,38780
TARGET 60606000 profile=1812,7027,8809,10967,10967,10967,14628,18544,18646,19027,20487,20554,20562,23041,30395,35325,38899,39702,39702,39702
TARGET 60606006 profile=733,884,1900,7688,8826,14569,17835,19669,22915,24555,25200,26799,26799,26799,30406,31987,32136,34662,35325,40178
TARGET 60606060 profile=204,480,6835,6835,14404,18347,20130,20314,20467,26795,26795,26795,29530,30393,32139,33201,33202,34186,35404,39626
TARGET 60606066 profile=180,192,722,1004,2002,5962,7680,11001,17861,17861,18347,19168,23842,26440,29545,29545,29746,31987,36676,38780
TARGET 60606600 profile=200,949,1882,3002,3005,6832,6832,6832,8826,12284,12840,19027,25058,25058,26987,27286,30393,31987,36349,39697
TARGET 60606606 profile=884,1882,6780,6784,7027,8809,14628,18201,19027,19873,20324,23529,23586,26799,30361,32136,34657,35785,35785,35785
TARGET 60606660 profile=1882,2952,3001,6790,6790,6790,9012,12229,12848,14564,14628,18645,18698,23376,24558,29130,30361,30393,33153,35770
TARGET 60606666 profile=721,1813,2954,3042,8808,9008,14553,14568,17746,18544,19181,19181,20314,23586,26799,26799,29530,33738,34584,34584
TARGET 60660000 profile=884,1842,6994,7150,7150,7681,12154,14401,14569,17835,20060,20467,24964,26793,27312,28825,30745,32355,39696,40100
TARGET 60660006 profile=736,739,1842,7238,8644,12284,19270,19340,19627,23795,24336,26793,26793,26793,32280,32370,34662,36310,38221,38236
TARGET 60660060 profile=1842,10955,10966,12154,14569,17746,18640,20467,22777,26805,30745,30745,30745,30745,32130,32355,33610,35281,35315,38171
TARGET 60660066 profile=722,722,722,1813,2917,7528,7692,12183,17848,18640,19397,27273,27276,27280,32029,32049,34584,34656,38171,38780
TARGET 60660600 profile=1812,1882,3004,3004,8641,11086,12284,14760,19891,19891,19891,24558,26241,27280,32029,32280,33840,36307,36450,36456
TARGET 60660606 profile=936,1326,2116,2917,2953,6784,11025,14568,17861,17861,18203,23823,24456,26793,26793,30406,32280,32352,38238,38682
