G8_CORNERS degree=3 profile_size=11
TARGET 03003303 profile=487,6041,8820,14139,18544,19963,20520,22755,36369,38881,39486
TARGET 03003330 profile=204,6033,7189,7561,12696,22794,27286,30395,32101,35596,39484
TARGET 03003333 profile=362,1812,8819,9000,12274,14565,19296,22770,24966,29137,38743
TARGET 03030000 profile=1327,11087,12190,19882,20145,23832,25226,26352,29155,35339,35378
TARGET 03030003 profile=5973,7237,19298,20240,25362,26073,31739,32355,36424,38856,38882
TARGET 03030030 profile=19,7514,8858,12155,13632,18604,20458,22794,25176,33865,34474
TARGET 03030033 profile=6039,8814,14761,14882,18210,19410,20463,24336,25204,33874,36459
TARGET 03030300 profile=5991,8824,14526,20130,20509,22755,22993,25204,27280,30364,34657
TARGET 03030303 profile=272,1326,2893,8826,12159,12544,19418,19425,23232,38643,38856
TARGET 03030330 profile=18,745,3108,8809,17850,19914,22794,26446,27286,32010,36435
TARGET 03030333 profile=1326,1813,6033,6039,14832,17728,18640,20244,30121,30596,35142
TARGET 03033000 profile=14,2881,7899,12598,14401,19630,22755,26436,32111,38643,40201
TARGET 03033003 profile=180,937,1897,6807,11087,14822,22914,24378,26352,32154,35161
TARGET 03033030 profile=278,6047,17996,19024,20467,25210,26352,26987,34194,35290,39624
TARGET 03033033 profile=5921,12571,19210,19302,23048,23074,24498,26440,29760,30246,36459
TARGET 03033300 profile=28,1320,7365,11087,17730,19269,20509,25098,25279,34171,39097
TARGET 03033303 profile=1809,6044,12070,12591,20192,24456,26241,28834,30458,36459,38882
TARGET 03033330 profile=3610,5915,5985,19418,20467,22794,23376,24490,26402,27280,30754
TARGET 03033333 profile=756,1004,5913,5915,19654,20463,22914,23643,26446,30936,34177
TARGET 03300000 profile=949,6807,11037,12232,20450,25177,26071,33874,35136,35320,36602
TARGET 03300003 profile=6683,12183,19296,19965,20163,24250,25205,25273,32316,33740,35531
TARGET 03300030 profile=742,1992,8817,17754,18345,20521,26683,32370,34536,36310,36600
TARGET 03300033 profile=6693,10959,18647,19270,20487,23074,26403,30721,34560,35376,38640
TARGET 03300300 profile=6780,6887,8644,12070,14768,20058,20315,24964,25237,36692,39486
TARGET 03300303 profile=1326,8795,18549,19410,19649,23040,26440,30364,30513,38232,38881
TARGET 03300330 profile=210,5915,18347,18646,20056,23521,23644,25205,27276,30402,32136
TARGET 03300333 profile=2117,6693,7020,8644,11824,14760,18696,20601,24336,26446,29545
TARGET 03303000 profile=940,5926,8943,12284,19269,25002,25080,25236,33866,38130,38881
TARGET 03303003 profile=1056,2882,7072,8826,11854,13560,17994,19672,25272,33190,34186
TARGET 03303030 profile=5,487,1843,12064,17754,19161,24250,26795,29746,35323,36690
TARGET 03303033 profile=1321,7024,12064,12852,19305,20450,26400,32848,33842,35280,36714
TARGET 03303300 profile=6994,10965,14316,17970,19962,24531,25201,25417,33369,33600,38898
TARGET 03303303 profile=1320,9008,11824,12114,16355,17953,25002,25203,28956,33740,35320
TARGET 03303330 profile=1,1882,7192,8826,14560,17736,23643,25176,26987,28800,32049
TARGET 03303333 profile=2116,6760,7232,12064,14553,16281,23040,29538,30393,33696,39487
TARGET 03330000 profile=5926,7681,14832,18003,19269,19882,24240,27010,35315,39600,40206
TARGET 03330003 profile=27,6289,12179,14401,17715,19269,19873,26370,33841,34656,38643
TARGET 03330030 profile=2,739,17737,18165,18642,19024,27276,31777,33600,36474,38778
TARGET 03330033 profile=158,5524,7005,11848,18640,20198,23616,25363,27280,35161,37027
TARGET 03330300 profile=937,5925,11027,19882,23520,24337,25723,26085,33371,35320,35596
TARGET 03330303 profile=16,6041,7005,14568,17730,17953,26401,28611,28842,35598,38778
TARGET 03330330 profile=6035,14761,17721,18633,19914,20314,25273,28842,29530,30361,36460
TARGET 03330333 profile=6033,6770,10297,18203,19410,23817,27312,29400,30720,35400,38682
TARGET 03333000 profile=4,940,6804,14761,17996,18155,19027,23644,26352,35209,40200
TARGET 03333003 profile=5,948,5921,9008,15374,17731,19965,24456,27276,32154,35160
TARGET 03333030 profile=1900,5926,14555,16888,17848,20314,23274,33840,33842,35326,36436
TARGET 03333033 profile=2,8761,11868,14586,16164,18549,19296,24246,24336,28683,35761
TARGET 03333300 profile=723,11827,12164,19890,24541,26354,27096,30241,33842,36305,39096
TARGET 03333303 profile=2880,3922,5921,6784,12159,17970,24541,24960,26401,31778,32154
TARGET 03333330 profile=6804,7632,11826,12912,14400,18466,18696,24550,28801,30720,36948
TARGET 03333333 profile=1493,8818,10266,10959,17715,17730,24336,25002,25236,32316,38880
TARGET 30000000 profile=3007,7558,12203,14404,20049,23064,26436,30763,32028,36371,40096
TARGET 30000003 profile=1004,2886,7069,7072,19269,25330,32029,32283,33183,37081,39114
TARGET 30000030 profile=798,3005,5986,14406,18234,20467,23035,33201,34186,34194,36348
TARGET 30000033 profile=732,5972,14407,19411,20450,23515,26439,27318,30400,30823,36675
TARGET 30000300 profile=3005,7189,8647,14858,18546,20314,22755,31858,35770,38646,39106
TARGET 30000303 profile=24,272,11037,16354,19979,22755,29146,30407,35060,35779,38238
TARGET 30000330 profile=1510,8646,12229,14407,14628,18698,22383,23738,26243,26472,38238
TARGET 30000333 profile=3108,7572,9008,11012,13119,18546,20117,20467,29407,32355,35286
TARGET 30003000 profile=487,940,10966,21634,23021,23035,26207,26440,33610,34663,36040
